query_id,query,num_facets,facets,mrr,recall@1,recall@3,recall@5,first_rank,any_hit@1,full_coverage@1,coverage_ratio@1,any_hit@3,full_coverage@3,coverage_ratio@3,any_hit@5,full_coverage@5,coverage_ratio@5,any_hit@10,full_coverage@10,coverage_ratio@10,any_hit@20,full_coverage@20,coverage_ratio@20
q00003,What fields would Caroline be likely to pursue in her educaton?,11,What fields would Caroline be likely to pursue in her educaton? || caroline fields caroline pursue educaton || caroline fields caroline || caroline caroline pursue || caroline pursue educaton || caroline fields caroline pursue || caroline caroline pursue educaton || caroline fields || caroline caroline || caroline pursue || caroline educaton,0.045454545454545456,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00015,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,12,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up? || caroline caroline want pursue counseling career she hadn received support growing || caroline caroline want pursue counseling || caroline career || caroline she hadn received support growing || caroline caroline want || caroline want pursue || caroline pursue counseling || caroline counseling career || caroline career she || caroline she hadn || caroline hadn received,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00023,Would Caroline likely have Dr. Seuss books on her bookshelf?,11,Would Caroline likely have Dr. Seuss books on her bookshelf? || caroline caroline seuss books bookshelf || caroline caroline seuss || caroline seuss books || caroline books bookshelf || caroline caroline seuss books || caroline seuss books bookshelf || caroline caroline || caroline seuss || caroline books || caroline bookshelf,0.3333333333333333,0.0,1.0,1.0,3,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
q00028,Would Caroline pursue writing as a career option?,12,Would Caroline pursue writing as a career option? || caroline caroline pursue writing career option || caroline caroline pursue writing || caroline career option || caroline caroline pursue || caroline pursue writing || caroline writing career || caroline pursue writing career || caroline writing career option || caroline caroline pursue writing career || caroline pursue writing career option || caroline caroline,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00043,Would Melanie be more interested in going to a national park or a theme park?,12,Would Melanie be more interested in going to a national park or a theme park? || melanie melanie interested going national park theme park || melanie melanie interested going national park || melanie theme park || melanie melanie interested || melanie interested going || melanie going national || melanie national park || melanie park theme || melanie melanie interested going || melanie interested going national || melanie going national park,0.1,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5
q00051,What would Caroline's political leaning likely be?,7,What would Caroline's political leaning likely be? || caroline caroline political leaning || caroline caroline political || caroline political leaning || caroline caroline || caroline political || caroline leaning,0.014705882352941176,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00060,Would Caroline be considered religious?,4,Would Caroline be considered religious? || caroline caroline religious || caroline caroline || caroline religious,0.14285714285714285,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,0.5
q00065,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",12,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi? || melanie melanie enjoy song four seasons vivaldi || melanie melanie enjoy || melanie enjoy song || melanie song four || melanie four seasons || melanie seasons vivaldi || melanie melanie enjoy song || melanie enjoy song four || melanie song four seasons || melanie four seasons vivaldi || melanie melanie enjoy song four",0.00980392156862745,0.0,0.0,0.0,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00070,What personality traits might Melanie say Caroline has?,11,What personality traits might Melanie say Caroline has? || caroline melanie personality traits melanie caroline || caroline melanie personality traits || caroline melanie traits melanie || caroline melanie melanie caroline || caroline melanie personality traits melanie || caroline melanie traits melanie caroline || caroline melanie personality || caroline melanie traits || caroline melanie melanie || caroline melanie caroline,0.022222222222222223,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00078,Would Melanie go on another roadtrip soon?,11,Would Melanie go on another roadtrip soon? || melanie melanie another roadtrip soon || melanie melanie another || melanie another roadtrip || melanie roadtrip soon || melanie melanie another roadtrip || melanie another roadtrip soon || melanie melanie || melanie another || melanie roadtrip || melanie soon,0.02702702702702703,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
