query_id,query_type,method,selected_method,mrr,recall@1,recall@3,recall@5,first_rank,query,predicted_intent
q00001,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline go to the LGBTQ support group?,fixed_baseline
q00003,3,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What fields would Caroline be likely to pursue in her educaton?,fixed_baseline
q00004,1,type_aware,type_aware,0.05263157894736842,0.0,0.0,0.0,19,What did Caroline research?,fixed_baseline
q00005,1,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What is Caroline's identity?,fixed_baseline
q00006,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Melanie run a charity race?,fixed_baseline
q00007,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When is Melanie planning on going camping?,fixed_baseline
q00008,1,type_aware,type_aware,0.037037037037037035,0.0,0.0,0.0,27,What is Caroline's relationship status?,fixed_baseline
q00009,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline give a speech at a school?,fixed_baseline
q00010,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,"When did Caroline meet up with her friends, family, and mentors?",fixed_baseline
q00011,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,How long has Caroline had her current group of friends for?,fixed_baseline
q00012,1,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Where did Caroline move from 4 years ago?,fixed_baseline
q00013,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,How long ago was Caroline's 18th birthday?,fixed_baseline
q00014,1,type_aware,type_aware,0.5,0.0,1.0,1.0,2,What career path has Caroline decided to persue?,fixed_baseline
q00015,3,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,fixed_baseline
q00016,1,type_aware,type_aware,0.125,0.0,0.0,0.0,8,What activities does Melanie partake in?,fixed_baseline
q00017,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Melanie sign up for a pottery class?,fixed_baseline
q00018,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When is Caroline going to the transgender conference?,fixed_baseline
q00019,1,type_aware,type_aware,0.25,0.0,0.0,1.0,4,Where has Melanie camped?,fixed_baseline
q00020,1,type_aware,type_aware,0.5,0.0,1.0,1.0,2,What do Melanie's kids like?,fixed_baseline
q00021,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Melanie go to the museum?,fixed_baseline
q00022,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline have a picnic?,fixed_baseline
q00023,3,type_aware,type_aware,0.5,0.0,1.0,1.0,2,Would Caroline likely have Dr. Seuss books on her bookshelf?,fixed_baseline
q00024,1,type_aware,type_aware,0.16666666666666666,0.0,0.0,0.0,6,What books has Melanie read?,fixed_baseline
q00025,1,type_aware,type_aware,0.16666666666666666,0.0,0.0,0.0,6,What does Melanie do to destress?,fixed_baseline
q00026,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline go to the LGBTQ conference?,fixed_baseline
q00028,3,type_aware,type_aware,0.2,0.0,0.0,1.0,5,Would Caroline pursue writing as a career option?,fixed_baseline
q00029,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline go to the adoption meeting?,fixed_baseline
q00030,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Melanie go to the pottery workshop?,fixed_baseline
q00032,2,type_aware,type_aware,0.04,0.0,0.0,0.0,25,When did Melanie go camping in June?,fixed_baseline
q00033,1,type_aware,type_aware,0.25,0.0,0.0,1.0,4,What LGBTQ+ events has Caroline participated in?,fixed_baseline
q00034,2,type_aware,type_aware,0.25,0.0,0.0,1.0,4,When did Caroline go to a pride parade during the summer?,fixed_baseline
q00035,1,type_aware,type_aware,0.02631578947368421,0.0,0.0,0.0,38,What events has Caroline participated in to help children?,fixed_baseline
q00036,2,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,When did Melanie go camping in July?,fixed_baseline
q00037,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline join a mentorship program?,fixed_baseline
q00039,1,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What activities has Melanie done with her family?,fixed_baseline
q00040,1,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,In what ways is Caroline participating in the LGBTQ community?,fixed_baseline
q00041,1,type_aware,type_aware,1.0,1.0,1.0,1.0,1,How many times has Melanie gone to the beach in 2023?,fixed_baseline
q00042,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline join a new activist group?,fixed_baseline
q00043,3,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,Would Melanie be more interested in going to a national park or a theme park?,fixed_baseline
q00044,1,type_aware,type_aware,0.2,0.0,0.0,1.0,5,What kind of art does Caroline make?,fixed_baseline
q00045,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When is Melanie's daughter's birthday?,fixed_baseline
q00046,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline attend a pride parade in August?,fixed_baseline
q00048,1,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Who supports Caroline when she has a negative experience?,fixed_baseline
q00049,1,type_aware,type_aware,0.017857142857142856,0.0,0.0,0.0,56,What types of pottery have Melanie and her kids made?,fixed_baseline
q00050,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline and Melanie go to a pride fesetival together?,fixed_baseline
q00051,3,type_aware,type_aware,0.03333333333333333,0.0,0.0,0.0,30,What would Caroline's political leaning likely be?,fixed_baseline
q00052,1,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What has Melanie painted?,fixed_baseline
q00053,1,type_aware,type_aware,0.2,0.0,0.0,1.0,5,What are Melanie's pets' names?,fixed_baseline
q00054,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline apply to adoption agencies?,fixed_baseline
q00055,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline draw a self-portrait?,fixed_baseline
q00056,1,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,What subject have Caroline and Melanie both painted?,fixed_baseline
q00058,2,type_aware,type_aware,0.5,0.0,1.0,1.0,2,When did Caroline encounter people on a hike and have a negative experience?,fixed_baseline
q00059,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Melanie make a plate in pottery class?,fixed_baseline
q00060,3,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Would Caroline be considered religious?,fixed_baseline
q00061,1,type_aware,type_aware,0.5,0.0,1.0,1.0,2,What instruments does Melanie play?,fixed_baseline
q00062,1,type_aware,type_aware,0.14285714285714285,0.0,0.0,0.0,7,What musical artists/bands has Melanie seen?,fixed_baseline
q00063,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Melanie go to the park?,fixed_baseline
q00064,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When is Caroline's youth center putting on a talent show?,fixed_baseline
q00065,3,type_aware,type_aware,0.03571428571428571,0.0,0.0,0.0,28,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",fixed_baseline
q00066,1,type_aware,type_aware,0.5,0.0,1.0,1.0,2,What are some changes Caroline has faced during her transition journey?,fixed_baseline
q00067,1,type_aware,type_aware,0.125,0.0,0.0,0.0,8,What does Melanie do with her family on hikes?,fixed_baseline
q00068,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline go biking with friends?,fixed_baseline
q00069,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,How long has Melanie been practicing art?,fixed_baseline
q00070,3,type_aware,type_aware,0.015151515151515152,0.0,0.0,0.0,66,What personality traits might Melanie say Caroline has?,fixed_baseline
