query_id,query_type,query,method,selected_method,predicted_intent,mrr,recall@1,recall@3,recall@5,first_rank
q00001,2,When did Caroline go to the LGBTQ support group?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00003,3,What fields would Caroline be likely to pursue in her educaton?,text_intent_router,vector,identity_profile_vector,1.0,1.0,1.0,1.0,1
q00004,1,What did Caroline research?,text_intent_router,type_aware,default_type_aware,0.05263157894736842,0.0,0.0,0.0,19
q00005,1,What is Caroline's identity?,text_intent_router,vector,identity_profile_vector,0.125,0.0,0.0,0.0,8
q00006,2,When did Melanie run a charity race?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00007,2,When is Melanie planning on going camping?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00008,1,What is Caroline's relationship status?,text_intent_router,vector,identity_profile_vector,0.045454545454545456,0.0,0.0,0.0,22
q00009,2,When did Caroline give a speech at a school?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00010,2,"When did Caroline meet up with her friends, family, and mentors?",text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00011,2,How long has Caroline had her current group of friends for?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00012,1,Where did Caroline move from 4 years ago?,text_intent_router,vector,identity_profile_vector,1.0,1.0,1.0,1.0,1
q00013,2,How long ago was Caroline's 18th birthday?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00014,1,What career path has Caroline decided to persue?,text_intent_router,vector,identity_profile_vector,1.0,1.0,1.0,1.0,1
q00015,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,text_intent_router,type_aware,causal_type_aware,1.0,1.0,1.0,1.0,1
q00016,1,What activities does Melanie partake in?,text_intent_router,vector,identity_profile_vector,0.1111111111111111,0.0,0.0,0.0,9
q00017,2,When did Melanie sign up for a pottery class?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00018,2,When is Caroline going to the transgender conference?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00019,1,Where has Melanie camped?,text_intent_router,vector,identity_profile_vector,0.5,0.0,1.0,1.0,2
q00020,1,What do Melanie's kids like?,text_intent_router,vector,identity_profile_vector,0.3333333333333333,0.0,1.0,1.0,3
q00021,2,When did Melanie go to the museum?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00022,2,When did Caroline have a picnic?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00023,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00024,1,What books has Melanie read?,text_intent_router,type_aware,default_type_aware,0.16666666666666666,0.0,0.0,0.0,6
q00025,1,What does Melanie do to destress?,text_intent_router,type_aware,default_type_aware,0.16666666666666666,0.0,0.0,0.0,6
q00026,2,When did Caroline go to the LGBTQ conference?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00028,3,Would Caroline pursue writing as a career option?,text_intent_router,vector,identity_profile_vector,0.2,0.0,0.0,1.0,5
q00029,2,When did Caroline go to the adoption meeting?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
