audit_id,query_id,query,query_type,auto_reason,first_rank,top_memory_id,top_memory_type,top_memory_text,gold_memory_ids,gold_memory_types,gold_memory_texts,llm_manual_reason,llm_auto_reason_correct,llm_top_memory_relevant,llm_gold_memory_sufficient,llm_auditor_notes,human_manual_reason,human_auto_reason_correct,human_top_memory_relevant,human_gold_memory_sufficient,human_auditor_notes
audit_002,q01430,Which locations does Deborah practice her yoga at?,1,activity_neighbor,12,llm_01830,preference,Deborah likes candles and essential oils for her yoga practice.,llm_01745|llm_01755|llm_01761|llm_01762|llm_01782|llm_01783,event|preference|relationship|work,Deborah's mother passed away. || Deborah met her new neighbor Anna yesterday at yoga in the park. || Deborah teaches yoga and spends a lot of time doing so.,Top memory mentions yoga but not locations; gold memories mention park but not specific locations.,partial,partial,unclear,"llm_assisted: Top memory is about yoga preferences, not locations; gold memories mention park but not all locations.",,,,,
audit_006,q00028,Would Caroline pursue writing as a career option?,3,career_education_neighbor,5,llm_00045,goal,Caroline is exploring counseling or mental health work as a career.,llm_00058|llm_00060,goal|hobby,Caroline is exploring counseling and mental health career options. || Caroline loves reading and considers books a huge part of her journey.,"top memory about counseling, but query asks about writing career; gold includes reading hobby, so partial relevance",partial,partial,no,llm_assisted: Top memory is related to career exploration but not writing; gold includes reading hobby which is relevant.,,,,,
audit_007,q00442,What happened to John's job in August 2023?,4,career_education_neighbor,4,llm_01643,plan,John has a day off tomorrow (27 August 2022).,llm_00602|llm_00603|llm_00604,goal|plan|work,John lost his job at a mechanical engineering company. || John is looking for opportunities in the tech industry. || John found a potential job at a tech company that needs his mechanical skills for their hardware team.,"top memory is about a day off in 2022, not about job loss in 2023; gold has job loss and job search",no,no,yes,llm_assisted: Top memory is irrelevant; gold memories directly answer the query.,,,,,
audit_009,q00889,What does Tim have that serves as a reminder of hard work and is his prized possession?,4,career_education_neighbor,13,llm_01062,hobby,Tim enjoys reading and does it as usual.,llm_01050,hobby,"Tim owns a basketball signed by his favorite player, LeBron James.","top memory about reading, but query asks about prized possession; gold has basketball signed by LeBron",no,no,yes,llm_assisted: Top memory is irrelevant; gold memory directly answers.,,,,,
audit_010,q00183,What did Melanie find in her neighborhood during her walk?,5,gold_below_top20,24,llm_00077,family,Melanie's family supported her during her move.,llm_00134,event,Caroline saw a rainbow sidewalk for Pride Month in her neighborhood.,"top memory about family support, but query asks about finding something in neighborhood; gold has rainbow sidewalk",no,no,yes,llm_assisted: Top memory is irrelevant; gold memory directly answers.,,,,,
audit_019,q01169,"How was John feeling on April 10, 2022?",2,gold_below_top20,377,llm_01116,event,John's favorite basketball game was when his team was down 10 in the 4th and he hit a buzzer-beater shot to win.,llm_01494,event,John visited a canyon two days ago to be alone with nature.,"Top memory is about a basketball game, not about feelings on a specific date; gold memory is about visiting a canyon.",yes,no,unclear,llm_assisted: Neither memory directly states feelings on that date; gold memory is more relevant but still indirect.,,,,,
audit_020,q01345,"What game is James hooked on playing on 5 November, 2022?",5,gold_below_top20,23,llm_01618,hobby,John is currently playing 'The Witcher 3' and is hooked on its storytelling and characters.,llm_01724,hobby,"John is currently playing FIFA 23, a football game with online multiplayer.","Top memory is about John playing Witcher 3, but query asks about James on a specific date; gold memory is about John playing FIFA 23.",yes,no,no,"llm_assisted: Name mismatch and date mismatch; gold memory is for John, not James, and no date.",,,,,
audit_025,q00970,Who is one of Tim's sources of inspiration for painting?,5,identity_neighbor,18,llm_01034,preference,"Tim draws inspiration for his writing from books, movies, real-life experiences, and certain authors.",llm_01035,preference,Tim is inspired by J.K. Rowling and takes notes on her style for his own writing.,"Query asks for a source of inspiration for painting, but gold memory is about writing inspiration. Top memory is about writing inspiration, so it is not relevant to painting.",yes,no,no,"llm_assisted: Gold memory is about writing, not painting, so it is not sufficient.",,,,,
audit_031,q00459,Who inspired John to start volunteering?,5,memory_type_mismatch,4,llm_00455,emotion,John found volunteering at the career fair rewarding and was inspired to help kids with lack of resources.,llm_00410,relationship,"Maria started volunteering to make a difference, inspired by her aunt who believed in volunteering and helped her family when struggling.","Top memory mentions John's inspiration but query asks who inspired John; gold memory is about Maria's inspiration, not John's.",no,partial,no,"llm_assisted: Top memory is about John's own inspiration, not who inspired him; gold memory is about Maria, not John.",,,,,
audit_034,q00645,What type of ice cream does Joanna mention that Nate makes and is delicious?,4,memory_type_mismatch,12,llm_00897,event,Nate offered Joanna some of his coconut milk ice cream.,llm_00778,hobby,"Nate loves making dairy-free desserts, especially coconut milk ice cream.",Top memory mentions offering coconut milk ice cream but not that it's delicious; gold memory says he loves making it.,no,partial,unclear,llm_assisted: Top memory confirms type but not deliciousness; gold memory implies enjoyment but not explicitly delicious.,,,,,
audit_040,q01164,Does James live in Connecticut?,3,memory_type_mismatch,10,llm_01716,relationship,James and Samantha have decided to move in together.,llm_01482|llm_01483,event|family,James adopted a puppy from a shelter in Stamford last week and named it Ned. || James has a dog named Ned.,"Top memory is about moving in together, not location; gold memory mentions Stamford but not Connecticut explicitly.",partial,partial,unclear,llm_assisted: Top memory is related but not location; gold memory implies Connecticut but not explicit.,,,,,
audit_045,q01756,"What food did Evan share a photo of on 19 August, 2023?",5,memory_type_mismatch,3,llm_02082,hobby,"Evan started taking painting classes a few days before August 19, 2023.",llm_02079,health,Sam is on a diet and living healthier as of August 2023.,"Top memory about painting classes, not food photo; gold memory about diet but not food.",no,no,no,llm_assisted: Neither memory answers the query about food photo.,,,,,
audit_050,q00715,Who did Joanna plan to invite to her gaming party in June 2022?,5,other,8,llm_00801,plan,Joanna and Nate plan to see each other soon.,llm_00744,plan,"Nate is organizing a gaming party two weekends later, inviting tournament friends and old teammates.","Top memory is a plan about seeing each other, but query asks about gaming party invitees; gold memory is plan about party.",no,partial,yes,llm_assisted: Top memory mentions plan but not party; gold memory directly answers.,,,,,
audit_051,q01147,What type of jewelry does Andrew make?,5,other,2,llm_01177,preference,"Andrew does not have any pets currently, but he loves animals.",llm_01367|llm_01371,hobby|preference,"Audrey makes jewelry from recycled objects like bottle caps, buttons, and broken jewelry. || Audrey values combining creativity and sustainability in her jewelry making.","Query asks about Andrew's jewelry, but top memory is about pets; gold memory mentions Audrey's jewelry, so name mismatch and irrelevant top memory.",no,no,no,llm_assisted: Top memory irrelevant; gold memory has different person (Audrey vs Andrew).,,,,,
audit_055,q01576,"Why did Deborah get the new plant on 30 August, 2023?",5,other,8,llm_01958,event,"Deborah attended a community meetup last Friday (August 25, 2023) where they shared stories.",llm_01949,event,Jolene recently got a new plant as a reminder to nurture herself and embrace fresh starts.,"Query asks about Deborah's plant, top memory about community meetup, gold memory about Jolene's plant; top memory irrelevant, gold memory has different person.",no,no,no,llm_assisted: Top memory irrelevant; gold memory has different person (Jolene vs Deborah).,,,,,
audit_056,q01803,Who inspired Dave's passion for car engineering?,1,other,19,llm_02365,event,Dave attended a car workshop in San Francisco and was inspired by the passion and dedication of people in car restoration.,llm_02348|llm_02349|llm_02472|llm_02473,event|hobby|work,"Dave grew up working on cars with his dad, and refurbishing cars is like therapy for him. || Dave has fond memories of working on cars with his dad as a kid, including one summer spent restoring an old car together. || Dave is an automotive engineer.",top memory mentions inspiration from car workshop but not specific person (dad),no,partial,yes,"llm_assisted: Gold memory explicitly states dad inspired passion, top memory only generic inspiration.",,,,,
audit_069,q01772,What is the motto of Sam's family?,5,relationship_neighbor,2,llm_02219,family,Sam's family has been a rock for him through everything.,llm_02181,family,"Evan's family motto is 'Bring it on Home', from a trip to Banff.","Top memory is about family support, not the motto; gold memory has the motto.",no,no,yes,llm_assisted: Top memory is irrelevant to the motto; gold memory directly answers.,,,,,
audit_075,q00133,How long has Melanie been creating art?,4,temporal_neighbor,11,llm_00154,hobby,"Melanie has been into art for seven years, focusing on painting and pottery.",llm_00153,hobby,Caroline has been creating art since she was 17.,"Top memory is about Melanie, but gold is about Caroline; query asks Melanie.",no,no,unclear,llm_assisted: Entity mismatch; gold may not be relevant.,,,,,
