record_idx,sample_id,session,prompt_tokens,completion_tokens,total_tokens
1,conv-26,D1,1067,704,1771
1,conv-26,D2,1262,654,1916
1,conv-26,D3,1683,798,2481
1,conv-26,D4,1355,665,2020
1,conv-26,D5,1171,481,1652
1,conv-26,D6,1172,883,2055
1,conv-26,D7,1591,892,2483
1,conv-26,D8,1852,1202,3054
1,conv-26,D9,1145,614,1759
1,conv-26,D10,1507,789,2296
1,conv-26,D11,1287,735,2022
1,conv-26,D12,1346,689,2035
1,conv-26,D13,1306,764,2070
1,conv-26,D14,1860,904,2764
1,conv-26,D15,1579,848,2427
1,conv-26,D16,1526,848,2374
1,conv-26,D17,1642,970,2612
1,conv-26,D18,1370,744,2114
1,conv-26,D19,1209,900,2109
