case,query_type,split_seed,query_id,query,delta_mrr,baseline_first_rank,candidate_first_rank,baseline_top_memory_id,baseline_top_memory_type,baseline_top_memory_text,candidate_top_memory_id,candidate_top_memory_type,candidate_top_memory_text,gold_memory_ids,gold_memory_types,gold_memory_texts
improved,1,23,q01041,What are the breeds of Audrey's dogs?,0.9666666666666667,30,1,llm_01350,family,Audrey's dogs are her only pets.,llm_01342,family,"Audrey has four dogs, all mutts: two Jack Russell mixes and two Chihuahua mixes.",llm_01342|llm_01406|llm_01407,family,"Audrey has four dogs, all mutts: two Jack Russell mixes and two Chihuahua mixes. || Audrey has four dogs: Pepper, Panda, Precious, and Pixie. || Audrey: Pepper and Panda are Lab mixes, and Precious and Pixie are Chihuahua mixes."
improved,1,17,q01035,What are the names of Andrew's dogs?,0.962962962962963,27,1,llm_01415,relationship,Audrey and Andrew are friends who enjoy outdoor activities with their dogs.,llm_01276,family,Andrew recently adopted a puppy named Toby.,llm_01276|llm_01277|llm_01389|llm_01429,event|family|identity,Andrew recently adopted a puppy named Toby. || Andrew lives in a city. || Andrew named his new puppy Buddy.
improved,2,17,q01655,"What was Sam doing on December 4, 2023?",0.9583333333333334,24,1,llm_02079,health,Sam is on a diet and living healthier as of August 2023.,llm_02175,event,Sam attended a Weight Watchers meeting yesterday.,llm_02175,event,Sam attended a Weight Watchers meeting yesterday.
improved,3,31,q00566,How many hikes has Joanna been on?,0.9444444444444444,18,1,llm_00672,preference,Joanna's go-to place for writing inspiration is a place with many books.,llm_00713,event,Joanna took a photo at Whispering Falls during her hike.,llm_00678|llm_00713|llm_00884,event,Joanna recently went hiking and saw a gorgeous sunset. || Joanna took a photo at Whispering Falls during her hike. || Joanna took a sunset photo on a hike last summer near Fort Wayne.
improved,4,23,q01254,Which football club does John support?,0.9375,16,1,llm_00473,relationship,John's family is his biggest support system.,llm_01559,preference,John is a Manchester City fan.,llm_01559,preference,John is a Manchester City fan.
improved,4,29,q01439,What music pieces does Deborah listen to during her yoga practice?,0.9333333333333333,15,1,llm_01828,hobby,Deborah bought a candle to improve her yoga practice.,llm_01832,preference,"Deborah likes instrumental tracks with mellow melodies for yoga, and one favorite is 'Savana'.",llm_01832|llm_01833,preference,"Deborah likes instrumental tracks with mellow melodies for yoga, and one favorite is 'Savana'. || Deborah recommends the album 'Sleep' for meditation and deep relaxation."
improved,5,31,q01582,Where did Jolene get married?,0.9285714285714286,14,1,llm_01770,event,Jolene did a mini retreat last Wednesday to assess where she is in life.,llm_01990,hobby,Deborah discovered her love for surfing at the beach where she got married.,llm_01989|llm_01990,event|hobby,Deborah got married at a beach that is special to her. || Deborah discovered her love for surfing at the beach where she got married.
worsened,1,13,q01837,What does help Calvin stay connected to the creative process?,-0.9166666666666666,1,12,llm_02492,preference,"Calvin usually watches music videos, concerts, and documentaries about artists and their creative process on TV.",llm_02510,event,"Calvin had an inspiring conversation with an artist at the gala, bonding over music and art.",llm_02461|llm_02492,preference,"Calvin values staying connected and up-to-date on world events to inspire his music and connect with fans. || Calvin usually watches music videos, concerts, and documentaries about artists and their creative process on TV."
improved,2,13,q00516,Which outdoor spot did Joanna visit in May?,0.9090909090909091,11,1,llm_00769,goal,Joanna recently started writing a book because her movie did well.,llm_00713,event,Joanna took a photo at Whispering Falls during her hike.,llm_00713,event,Joanna took a photo at Whispering Falls during her hike.
worsened,4,17,q01672,What did Evan start doing a few years back as a stress-buster?,-0.9090909090909091,1,11,llm_02027,hobby,Evan has been doing watercolor painting for a few years and got into it through a friend.,llm_02174,plan,Evan is considering trying yoga for stress relief and flexibility.,llm_02027,hobby,Evan has been doing watercolor painting for a few years and got into it through a friend.
improved,5,29,q01129,How did Andrew describe the dog he met at the pet store?,0.9090909090909091,11,1,llm_01185,goal,Andrew is considering getting a dog.,llm_01225,event,Audrey found the workshop flyer at her local pet store.,llm_01225|llm_01226,event|plan,Audrey found the workshop flyer at her local pet store. || Audrey: The workshop Audrey signed up for is a positive reinforcement training class.
worsened,1,13,q00311,Where has Maria made friends?,-0.8888888888888888,1,9,llm_00397,relationship,Maria is now friends with one of her fellow volunteers.,llm_00438,work,Maria volunteers at a homeless shelter.,llm_00397|llm_00377|llm_00378|llm_00521|llm_00485,event|hobby|other|relationship,Maria is now friends with one of her fellow volunteers. || Maria donated her old car to a homeless shelter she volunteers at yesterday. || Maria volunteers at a homeless shelter.
worsened,3,23,q00811,What other exercises can help John with his basketball performance?,-0.875,1,8,llm_00962,plan,John adapted his workout routine to balance basketball and strength training.,llm_01165,preference,John is interested in basketball and believes it brings people together and creates positive impact.,llm_00961|llm_00962|llm_01084,hobby|plan,John recently found a new gym to stay fit for professional basketball. || John adapted his workout routine to balance basketball and strength training. || John is trying yoga to gain extra strength and flexibility.
worsened,3,13,q00811,What other exercises can help John with his basketball performance?,-0.8,1,5,llm_00962,plan,John adapted his workout routine to balance basketball and strength training.,llm_01154,hobby,John practices basketball every day to stay in shape and improve.,llm_00961|llm_00962|llm_01084,hobby|plan,John recently found a new gym to stay fit for professional basketball. || John adapted his workout routine to balance basketball and strength training. || John is trying yoga to gain extra strength and flexibility.
worsened,5,13,q01944,What type of cars does Calvin work on at his shop?,-0.75,1,4,llm_02277,plan,Dave invited Calvin to visit his shop.,llm_02273,goal,Dave's next dream is to work on classic cars.,llm_02276|llm_02277,plan|work,Dave's shop handles regular maintenance and full restorations of classic cars. || Dave invited Calvin to visit his shop.
worsened,5,29,q01555,Who are the authors mentioned by Jolene that she enjoys reading during her yoga practice?,-0.75,1,4,llm_01831,preference,Jolene likes listening to Nils Frahm and Olafur Arnalds during yoga.,llm_01828,hobby,Deborah bought a candle to improve her yoga practice.,llm_01831,preference,Jolene likes listening to Nils Frahm and Olafur Arnalds during yoga.
worsened,2,23,q01795,When was Calvin's concert in Tokyo?,-0.6666666666666667,1,3,llm_02296,event,Calvin has an upcoming music performance in Tokyo this month.,llm_02450,event,Calvin performed in Tokyo during the tour and found the crowd energy amazing.,llm_02296|llm_02299|llm_02300|llm_02308,emotion|event|relationship,"Calvin has an upcoming music performance in Tokyo this month. || Calvin toured with Frank Ocean last week, including a performance in Tokyo. || Calvin felt alive and energized performing in Tokyo, describing the crowd as insane."
