query_id,original_query_id,split_seed,query_type,method,mrr,recall@1,recall@3,recall@5,first_rank
13:q00006,q00006,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00006,q00006,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00008,q00008,13,1,type_aware,0.037037037037037035,0.0,0.0,0.0,27
13:q00008,q00008,13,1,candidate_reranker,0.0,0.0,0.0,0.0,0
13:q00009,q00009,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00009,q00009,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00010,q00010,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00010,q00010,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00012,q00012,13,1,type_aware,1.0,1.0,1.0,1.0,1
13:q00012,q00012,13,1,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00013,q00013,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00013,q00013,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00021,q00021,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00021,q00021,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00025,q00025,13,1,type_aware,0.16666666666666666,0.0,0.0,0.0,6
13:q00025,q00025,13,1,candidate_reranker,0.25,0.0,0.0,1.0,4
13:q00029,q00029,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00029,q00029,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00033,q00033,13,1,type_aware,0.25,0.0,0.0,1.0,4
13:q00033,q00033,13,1,candidate_reranker,0.08333333333333333,0.0,0.0,0.0,12
13:q00035,q00035,13,1,type_aware,0.02631578947368421,0.0,0.0,0.0,38
13:q00035,q00035,13,1,candidate_reranker,0.1111111111111111,0.0,0.0,0.0,9
13:q00036,q00036,13,2,type_aware,0.3333333333333333,0.0,1.0,1.0,3
13:q00036,q00036,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00050,q00050,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00050,q00050,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00051,q00051,13,3,type_aware,0.03333333333333333,0.0,0.0,0.0,30
13:q00051,q00051,13,3,candidate_reranker,0.05555555555555555,0.0,0.0,0.0,18
13:q00060,q00060,13,3,type_aware,1.0,1.0,1.0,1.0,1
13:q00060,q00060,13,3,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00062,q00062,13,1,type_aware,0.14285714285714285,0.0,0.0,0.0,7
13:q00062,q00062,13,1,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00066,q00066,13,1,type_aware,0.5,0.0,1.0,1.0,2
13:q00066,q00066,13,1,candidate_reranker,0.25,0.0,0.0,1.0,4
13:q00068,q00068,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00068,q00068,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00069,q00069,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00069,q00069,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00072,q00072,13,1,type_aware,0.5,0.0,1.0,1.0,2
13:q00072,q00072,13,1,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00075,q00075,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00075,q00075,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00077,q00077,13,1,type_aware,0.125,0.0,0.0,0.0,8
13:q00077,q00077,13,1,candidate_reranker,0.09090909090909091,0.0,0.0,0.0,11
13:q00080,q00080,13,2,type_aware,1.0,1.0,1.0,1.0,1
13:q00080,q00080,13,2,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00086,q00086,13,4,type_aware,0.0196078431372549,0.0,0.0,0.0,51
13:q00086,q00086,13,4,candidate_reranker,0.0,0.0,0.0,0.0,0
13:q00087,q00087,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00087,q00087,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00092,q00092,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00092,q00092,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00096,q00096,13,4,type_aware,0.03571428571428571,0.0,0.0,0.0,28
13:q00096,q00096,13,4,candidate_reranker,0.06666666666666667,0.0,0.0,0.0,15
13:q00097,q00097,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00097,q00097,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00098,q00098,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00098,q00098,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00103,q00103,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00103,q00103,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00106,q00106,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00106,q00106,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00113,q00113,13,4,type_aware,0.3333333333333333,0.0,1.0,1.0,3
13:q00113,q00113,13,4,candidate_reranker,0.5,0.0,1.0,1.0,2
13:q00117,q00117,13,4,type_aware,0.14285714285714285,0.0,0.0,0.0,7
13:q00117,q00117,13,4,candidate_reranker,0.2,0.0,0.0,1.0,5
13:q00119,q00119,13,4,type_aware,0.5,0.0,1.0,1.0,2
13:q00119,q00119,13,4,candidate_reranker,0.5,0.0,1.0,1.0,2
13:q00121,q00121,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00121,q00121,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00123,q00123,13,4,type_aware,0.25,0.0,0.0,1.0,4
13:q00123,q00123,13,4,candidate_reranker,0.16666666666666666,0.0,0.0,0.0,6
13:q00124,q00124,13,4,type_aware,0.3333333333333333,0.0,1.0,1.0,3
13:q00124,q00124,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00125,q00125,13,4,type_aware,0.05,0.0,0.0,0.0,20
13:q00125,q00125,13,4,candidate_reranker,0.3333333333333333,0.0,1.0,1.0,3
13:q00128,q00128,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00128,q00128,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00130,q00130,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00130,q00130,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00141,q00141,13,4,type_aware,1.0,1.0,1.0,1.0,1
13:q00141,q00141,13,4,candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00142,q00142,13,4,type_aware,0.16666666666666666,0.0,0.0,0.0,6
