query_id,query,query_type,intent,first_rank,reason,top_memory_id,top_memory_type,top_memory_text,gold_memory_ids,gold_memory_types,gold_memory_texts
q00004,What did Caroline research?,1,other,19,memory_type_mismatch,llm_00164,other,"Caroline gave Melanie tips on starting adoption: research, find an agency or lawyer, gather documents, and prepare emotionally.",llm_00014,goal,Caroline is researching adoption agencies with the goal of adopting children and giving them a loving home.
q00008,What is Caroline's relationship status?,1,relationship,27,gold_below_top20,llm_00002,identity,Caroline is transgender.,llm_00022|llm_00023|llm_00016,emotion|plan|relationship,"Caroline has known her close friends for 4 years, since she moved from her home country. || Caroline went through a tough breakup, and her friends' support was especially important during that time. || Caroline is planning to adopt as a single parent and is up for the challenge."
q00014,What career path has Caroline decided to persue?,1,career_education,2,career_education_neighbor,llm_00040,goal,Caroline is considering counseling and mental health as a career path to help others.,llm_00034|llm_00035|llm_00036|llm_00005|llm_00006,event|goal|plan,Caroline is exploring a career in counseling and mental health. || Caroline wants to work with trans people to help them accept themselves and support their mental health. || Caroline attended an LGBTQ+ counseling workshop last Friday.
q00016,What activities does Melanie partake in?,1,activity,8,memory_type_mismatch,llm_00079,hobby,Melanie and her family enjoy hiking in the mountains and exploring forests.,llm_00042|llm_00080|llm_00010,event|plan,Melanie signed up for a pottery class yesterday. || Melanie went camping with her family two weekends ago. || Melanie is going swimming with the kids after the conversation.
q00019,Where has Melanie camped?,1,location,4,other,llm_00151,family,Melanie has kids.,llm_00055|llm_00032|llm_00078,event|family,"Melanie's family enjoys camping at the beach, which brings them closer. || Melanie went camping with her family in the mountains last week. || Melanie and her family went on a camping trip in the forest."
q00020,What do Melanie's kids like?,1,preference,2,preference_neighbor,llm_00151,family,Melanie has kids.,llm_00047|llm_00048|llm_00033,event|family|identity,Melanie took her kids to the museum yesterday and they enjoyed the dinosaur exhibit. || Melanie loves being a mom. || Melanie has two younger kids who love nature.
q00023,Would Caroline likely have Dr. Seuss books on her bookshelf?,3,other,2,memory_type_mismatch,llm_00060,hobby,Caroline loves reading and considers books a huge part of her journey.,llm_00049|llm_00050,plan|preference,"Caroline is creating a library of children's books for when she has kids. || Caroline's children's book library includes classics, stories from different cultures, and educational books."
q00024,What books has Melanie read?,1,other,6,memory_type_mismatch,llm_00151,family,Melanie has kids.,llm_00051,preference,Melanie's favorite childhood book was 'Charlotte's Web'.
q00025,What does Melanie do to destress?,1,other,6,memory_type_mismatch,llm_00151,family,Melanie has kids.,llm_00065|llm_00042,event|health,Melanie has been running longer distances to de-stress and clear her mind. || Melanie signed up for a pottery class yesterday.
q00028,Would Caroline pursue writing as a career option?,3,career_education,5,career_education_neighbor,llm_00045,goal,Caroline is exploring counseling or mental health work as a career.,llm_00058|llm_00060,goal|hobby,Caroline is exploring counseling and mental health career options. || Caroline loves reading and considers books a huge part of her journey.
q00032,When did Melanie go camping in June?,2,temporal,25,gold_below_top20,llm_00032,event,Melanie went camping with her family in the mountains last week.,llm_00033,family,Melanie has two younger kids who love nature.
q00033,What LGBTQ+ events has Caroline participated in?,1,other,4,memory_type_mismatch,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,llm_00039|llm_00074|llm_00019|llm_00020|llm_00001,event|identity,"Caroline attended an LGBTQ+ pride parade last week and felt a sense of belonging. || Caroline attended a pride parade a few weeks ago and felt accepted, happy, and proud. || Caroline is a transgender woman who started transitioning three years ago."
q00034,When did Caroline go to a pride parade during the summer?,2,temporal,4,temporal_neighbor,llm_00091,event,Caroline missed the pride parade in her city last weekend.,llm_00039,event,Caroline attended an LGBTQ+ pride parade last week and felt a sense of belonging.
q00035,What events has Caroline participated in to help children?,1,other,38,gold_below_top20,llm_00049,plan,Caroline is creating a library of children's books for when she has kids.,llm_00081,plan,Caroline joined a mentorship program for LGBTQ youth last weekend.
q00036,When did Melanie go camping in July?,2,temporal,3,temporal_neighbor,llm_00032,event,Melanie went camping with her family in the mountains last week.,llm_00080,event,Melanie went camping with her family two weekends ago.
q00040,In what ways is Caroline participating in the LGBTQ community?,1,other,3,memory_type_mismatch,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,llm_00088|llm_00089|llm_00039|llm_00085|llm_00081,event|identity|plan,Caroline joined a new LGBTQ activist group called 'Connected LGBTQ Activists' last Tuesday. || Caroline is passionate about LGBTQ rights and community support. || Caroline attended an LGBTQ+ pride parade last week and felt a sense of belonging.
q00043,Would Melanie be more interested in going to a national park or a theme park?,3,other,3,other,llm_00139,event,Melanie took her kids to a park yesterday and they had fun exploring and playing outdoors.,llm_00094|llm_00095,event|family,Melanie's family has a tradition of going on a camping trip every summer. || Melanie's best camping memory is seeing the Perseid meteor shower during a camping trip last year.
q00044,What kind of art does Caroline make?,1,other,5,memory_type_mismatch,llm_00153,hobby,Caroline has been creating art since she was 17.,llm_00103|llm_00104|llm_00101,work,Caroline's art expresses her trans experience and aims to help people understand the trans community. || Caroline created a painting titled 'Embracing Identity' about finding comfort and love in being yourself. || Caroline is an artist who uses her art to advocate for LGBTQ+ rights and inclusivity.
q00049,What types of pottery have Melanie and her kids made?,1,other,56,gold_below_top20,llm_00067,event,Melanie took her kids to a pottery workshop last Friday and they all made pots.,llm_00114,relationship,Caroline and Melanie are close friends who support each other.
q00051,What would Caroline's political leaning likely be?,3,other,30,gold_below_top20,llm_00002,identity,Caroline is transgender.,llm_00107|llm_00108,event|identity,"Caroline recently had a negative experience on a hike when she encountered religious conservatives who upset her, making her think about the work needed for LGBTQ rights. || Caroline is part of the LGBTQ community and values supportive people around her."
q00053,What are Melanie's pets' names?,1,other,5,semantic_neighbor,llm_00151,family,Melanie has kids.,llm_00118|llm_00063|llm_00064,family|preference,Melanie has a cat named Oliver and recently got another cat named Bailey. || Melanie has a dog and a cat named Luna and Oliver. || Melanie recently bought new purple running shoes.
q00056,What subject have Caroline and Melanie both painted?,1,other,3,memory_type_mismatch,llm_00191,relationship,Caroline and Melanie have a supportive friendship and are there for each other.,llm_00128|llm_00068|llm_00069,event|hobby,"Caroline has not tried pottery yet. || Melanie and her kids enjoy painting together, especially nature-inspired paintings. || Melanie and her kids painted a nature-inspired painting together last weekend."
q00058,When did Caroline encounter people on a hike and have a negative experience?,2,temporal,2,temporal_neighbor,llm_00107,event,"Caroline recently had a negative experience on a hike when she encountered religious conservatives who upset her, making her think about the work needed for LGBTQ rights.",llm_00126,event,"Caroline went hiking last week and got into a bad spot with some people, and she apologized to them."
q00061,What instruments does Melanie play?,1,activity,2,memory_type_mismatch,llm_00151,family,Melanie has kids.,llm_00147|llm_00012,goal|hobby,"Melanie plays the clarinet and started when she was young. || Melanie is prioritizing self-care and carving out me-time each day for running, reading, or playing violin."
q00062,What musical artists/bands has Melanie seen?,1,other,7,memory_type_mismatch,llm_00151,family,Melanie has kids.,llm_00144|llm_00098,event,Melanie attended a concert by the band 'Summer Sounds' and enjoyed their pop music. || Melanie celebrated her daughter's birthday with a concert by Matt Patterson on the evening before 14 August 2023.
q00065,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",3,preference,28,gold_below_top20,llm_00079,hobby,Melanie and her family enjoy hiking in the mountains and exploring forests.,llm_00148,preference,"Melanie enjoys classical music like Bach and Mozart, as well as modern music like Ed Sheeran's 'Perfect'."
q00066,What are some changes Caroline has faced during her transition journey?,1,other,2,other,llm_00156,emotion,Caroline used art to explore her gender identity and during her transition.,llm_00158|llm_00105,emotion|relationship,"Caroline's relationships changed after her transition; some friends stopped supporting her, but she is happier with those who accept her. || Caroline uses art to explore her transition and changing body, and to accept imperfections."
q00067,What does Melanie do with her family on hikes?,1,relationship,8,memory_type_mismatch,llm_00078,event,Melanie and her family went on a camping trip in the forest.,llm_00094,family,Melanie's family has a tradition of going on a camping trip every summer.
q00070,What personality traits might Melanie say Caroline has?,3,other,66,gold_below_top20,llm_00114,relationship,Caroline and Melanie are close friends who support each other.,llm_00159,event,Melanie had a good time at a café last weekend.
q00071,What transgender-specific events has Caroline attended?,1,identity,7,identity_neighbor,llm_00002,identity,Caroline is transgender.,llm_00170|llm_00171,event|identity,Caroline attended a transgender poetry reading last Friday where transgender people shared their stories through poetry. || Caroline is a transgender woman.
q00072,What book did Melanie read from Caroline's suggestion?,1,location,2,other,llm_00051,preference,Melanie's favorite childhood book was 'Charlotte's Web'.,llm_00061|llm_00166,hobby|preference,"Caroline's favorite book is 'Becoming Nicole' by Amy Ellis Nutt, which inspired her. || Melanie is doing okay now and has been reading a book recommended by Caroline and painting to keep busy."
q00073,When did Melanie's friend adopt a child?,2,temporal,86,gold_below_top20,llm_00163,goal,Melanie is considering adoption herself after hearing about her friend's experience.,llm_00160|llm_00161,goal,"Caroline is ready to become a mom and has contacted her mentor for adoption advice. || Caroline wants to adopt to provide a safe, loving home for kids who need it."
q00074,When did Melanie get hurt?,2,temporal,2,memory_type_mismatch,llm_00147,hobby,Melanie plays the clarinet and started when she was young.,llm_00165,health,"Melanie had a setback last month: she got hurt and had to take a break from pottery, which she uses for self-expression and peace."
q00076,How many children does Melanie have?,1,other,2,semantic_neighbor,llm_00151,family,Melanie has kids.,llm_00173|llm_00174|llm_00177,event|family,"Melanie's son was in a car accident during a road trip over the past weekend, but he was okay. || Melanie went on a road trip with her family over the past weekend. || Melanie has multiple children, including a son who was in an accident and other kids who were scared but reassured."
q00077,When did Melanie go on a hike after the roadtrip?,1,temporal,8,temporal_neighbor,llm_00174,event,Melanie went on a road trip with her family over the past weekend.,llm_00178,event,Melanie went camping with her family yesterday and the kids loved it.
q00082,Would Caroline want to move back to her home country soon?,3,location,3,memory_type_mismatch,llm_00022,relationship,"Caroline has known her close friends for 4 years, since she moved from her home country.",llm_00182|llm_00183|llm_00184,event|goal|preference,Caroline passed the adoption agency interviews last Friday (20 October 2023). || Caroline's goal is to build her own family through adoption and provide a home for kids who haven't had one. || Caroline sees adoption as a way of giving back and showing love and acceptance.
q00084,What did Melanie realize after the charity race?,4,activity,3,memory_type_mismatch,llm_00011,event,Melanie ran a charity race for mental health last Saturday.,llm_00012|llm_00018,belief|goal,"Melanie is prioritizing self-care and carving out me-time each day for running, reading, or playing violin. || Melanie believes self-care helps her better look after her family."
q00085,How does Melanie prioritize self-care?,4,other,2,memory_type_mismatch,llm_00018,belief,Melanie believes self-care helps her better look after her family.,llm_00012,goal,"Melanie is prioritizing self-care and carving out me-time each day for running, reading, or playing violin."
q00086,What are Caroline's plans for the summer?,4,temporal,51,gold_below_top20,llm_00113,plan,"Caroline and Melanie plan to do something special together this summer, possibly a family outing or a trip just the two of them.",llm_00014,goal,Caroline is researching adoption agencies with the goal of adopting children and giving them a loving home.
q00089,What is Caroline excited about in the adoption process?,4,other,10,memory_type_mismatch,llm_00017,emotion,Caroline feels hopeful and optimistic about the adoption process.,llm_00016,plan,Caroline is planning to adopt as a single parent and is up for the challenge.
q00096,What did Melanie and her family do while camping?,4,relationship,28,gold_below_top20,llm_00080,event,Melanie went camping with her family two weekends ago.,llm_00033,family,Melanie has two younger kids who love nature.
q00105,What book did Caroline recommend to Melanie?,4,other,5,memory_type_mismatch,llm_00166,hobby,Melanie is doing okay now and has been reading a book recommended by Caroline and painting to keep busy.,llm_00061,preference,"Caroline's favorite book is 'Becoming Nicole' by Amy Ellis Nutt, which inspired her."
q00113,What did Mel and her kids paint in their latest project in July 2023?,4,activity,3,activity_neighbor,llm_00087,hobby,Melanie and her kids just finished another painting.,llm_00068|llm_00069,event|hobby,"Melanie and her kids enjoy painting together, especially nature-inspired paintings. || Melanie and her kids painted a nature-inspired painting together last weekend."
q00115,What do sunflowers represent according to Caroline?,4,other,44,gold_below_top20,llm_00002,identity,Caroline is transgender.,llm_00072,preference,Caroline's favorite color is blue because it makes her feel relaxed.
q00117,What inspired Caroline's painting for the art show?,4,activity,7,memory_type_mismatch,llm_00085,plan,Caroline has an LGBTQ art show with her paintings next month.,llm_00086,hobby,"Caroline painted a piece inspired by a visit to an LGBTQ center, depicting unity and strength."
q00118,How often does Melanie go to the beach with her kids?,4,other,2,memory_type_mismatch,llm_00092,event,Melanie went to the beach with her kids recently.,llm_00093,preference,Melanie goes to the beach with her kids only once or twice a year.
q00119,What did Melanie and her family see during their camping trip last year?,4,relationship,2,relationship_neighbor,llm_00078,event,Melanie and her family went on a camping trip in the forest.,llm_00095,event,Melanie's best camping memory is seeing the Perseid meteor shower during a camping trip last year.
q00123,Why did Melanie choose to use colors and patterns in her pottery project?,4,causal_emotion,4,memory_type_mismatch,llm_00109,hobby,Melanie finished a pottery project and is proud of it.,llm_00110,preference,Melanie is obsessed with colorful patterns and uses painting to express her feelings and creativity.
q00124,What pet does Caroline have?,4,other,3,memory_type_mismatch,llm_00002,identity,Caroline is transgender.,llm_00117,family,Caroline has a guinea pig named Oscar.
q00125,What pets does Melanie have?,4,other,20,semantic_neighbor,llm_00151,family,Melanie has kids.,llm_00118,family,Melanie has a cat named Oliver and recently got another cat named Bailey.
q00133,How long has Melanie been creating art?,4,temporal,11,temporal_neighbor,llm_00154,hobby,"Melanie has been into art for seven years, focusing on painting and pottery.",llm_00153,hobby,Caroline has been creating art since she was 17.
q00135,What advice does Caroline give for getting started with adoption?,4,other,10,memory_type_mismatch,llm_00116,event,Caroline attended an adoption advice/assistance group.,llm_00164,other,"Caroline gave Melanie tips on starting adoption: research, find an agency or lawyer, gather documents, and prepare emotionally."
q00136,What setback did Melanie face in October 2023?,4,other,2,memory_type_mismatch,llm_00190,event,Melanie bought figurines yesterday (21 October 2023) that remind her of family love.,llm_00165,health,"Melanie had a setback last month: she got hurt and had to take a break from pottery, which she uses for self-expression and peace."
q00137,What does Melanie do to keep herself busy during her pottery break?,4,other,7,memory_type_mismatch,llm_00042,event,Melanie signed up for a pottery class yesterday.,llm_00166,hobby,Melanie is doing okay now and has been reading a book recommended by Caroline and painting to keep busy.
q00138,"What painting did Melanie show to Caroline on October 13, 2023?",4,activity,18,memory_type_mismatch,llm_00190,event,Melanie bought figurines yesterday (21 October 2023) that remind her of family love.,llm_00167,hobby,Melanie painted a sunset-inspired painting last week; the colors make her feel calm.
q00142,What does Caroline's drawing symbolize for her?,4,other,6,memory_type_mismatch,llm_00135,preference,Caroline enjoys drawing flowers.,llm_00171|llm_00172,emotion|identity,"Caroline is a transgender woman. || Caroline was inspired by the transgender poetry reading to create art; she drew a piece that stands for freedom and being real, embracing her womanhood."
