scope,check,pass,severity,evidence,action,status
priority20,file_exists,True,blocker,outputs/agent_memory_human_audit_priority20_blind_review.csv,Regenerate the blind review CSV from the confirmation sheet.,pass
priority20,expected_row_count,True,blocker,"rows=20, expected=20",Regenerate the blind review sample with the expected scope size.,pass
priority20,no_llm_label_columns,True,blocker,no llm_* columns,Remove llm_* fields from the blind review sheet before labeling.,pass
priority20,expected_columns_present,True,blocker,all expected columns present,Regenerate the blind review sheet with the standard schema.,pass
priority20,no_extra_columns,True,major,no extra columns,Remove non-protocol columns or document why they are needed.,pass
priority20,audit_id_unique_nonempty,True,blocker,"duplicates=[], blank_ids=0",Regenerate the sheet so every row has one unique audit_id.,pass
priority20,review_order_contiguous,True,major,"first_orders=[1, 2, 3, 4, 5], expected_len=20",Regenerate or sort the sheet so review_order is 1..N.,pass
priority20,human_labels_not_prefilled,True,info,filled_required_human_label_cells=0,"If labels are already filled, this is not a leakage issue; run merge/agreement/readiness next.",pass
full80,file_exists,True,blocker,outputs/agent_memory_human_audit_full80_blind_review.csv,Regenerate the blind review CSV from the confirmation sheet.,pass
full80,expected_row_count,True,blocker,"rows=80, expected=80",Regenerate the blind review sample with the expected scope size.,pass
full80,no_llm_label_columns,True,blocker,no llm_* columns,Remove llm_* fields from the blind review sheet before labeling.,pass
full80,expected_columns_present,True,blocker,all expected columns present,Regenerate the blind review sheet with the standard schema.,pass
full80,no_extra_columns,True,major,no extra columns,Remove non-protocol columns or document why they are needed.,pass
full80,audit_id_unique_nonempty,True,blocker,"duplicates=[], blank_ids=0",Regenerate the sheet so every row has one unique audit_id.,pass
full80,review_order_contiguous,True,major,"first_orders=[1, 2, 3, 4, 5], expected_len=80",Regenerate or sort the sheet so review_order is 1..N.,pass
full80,human_labels_not_prefilled,True,info,filled_required_human_label_cells=0,"If labels are already filled, this is not a leakage issue; run merge/agreement/readiness next.",pass
cross_scope,priority20_subset_of_full80,True,major,priority20 ids are included in full80,Regenerate priority20 from the full80 audit pool or explain the separate sample design.,pass
