query_id,query_type,query,method,num_gold,is_multi_evidence,mrr,recall@1,recall@3,recall@5,first_rank,any_hit@1,full_coverage@1,coverage_ratio@1,any_hit@3,full_coverage@3,coverage_ratio@3,any_hit@5,full_coverage@5,coverage_ratio@5,any_hit@10,full_coverage@10,coverage_ratio@10,any_hit@20,full_coverage@20,coverage_ratio@20
q00003,3,What fields would Caroline be likely to pursue in her educaton?,type_aware,2,1,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q00003,3,What fields would Caroline be likely to pursue in her educaton?,query_decomposition,2,1,0.045454545454545456,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00003,3,What fields would Caroline be likely to pursue in her educaton?,type_aware_plus_decomposition,2,1,0.5,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
q00015,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,type_aware,2,1,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00015,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,query_decomposition,2,1,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00015,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,type_aware_plus_decomposition,2,1,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00023,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,type_aware,2,1,0.5,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q00023,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,query_decomposition,2,1,0.3333333333333333,0.0,1.0,1.0,3,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
q00023,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,type_aware_plus_decomposition,2,1,0.5,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q00028,3,Would Caroline pursue writing as a career option?,type_aware,2,1,0.2,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00028,3,Would Caroline pursue writing as a career option?,query_decomposition,2,1,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00028,3,Would Caroline pursue writing as a career option?,type_aware_plus_decomposition,2,1,0.2,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00043,3,Would Melanie be more interested in going to a national park or a theme park?,type_aware,2,1,0.3333333333333333,0.0,1.0,1.0,3,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00043,3,Would Melanie be more interested in going to a national park or a theme park?,query_decomposition,2,1,0.1,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5
q00043,3,Would Melanie be more interested in going to a national park or a theme park?,type_aware_plus_decomposition,2,1,0.5,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00051,3,What would Caroline's political leaning likely be?,type_aware,2,1,0.03333333333333333,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00051,3,What would Caroline's political leaning likely be?,query_decomposition,2,1,0.014705882352941176,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00051,3,What would Caroline's political leaning likely be?,type_aware_plus_decomposition,2,1,0.014285714285714285,0.0,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00060,3,Would Caroline be considered religious?,type_aware,4,1,1.0,1.0,1.0,1.0,1,1.0,0.0,0.25,1.0,0.0,0.25,1.0,0.0,0.25,1.0,0.0,0.5,1.0,0.0,0.5
q00060,3,Would Caroline be considered religious?,query_decomposition,4,1,0.14285714285714285,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,0.5
q00060,3,Would Caroline be considered religious?,type_aware_plus_decomposition,4,1,0.5,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,0.25,1.0,0.0,0.5,1.0,0.0,0.5
q00065,3,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",type_aware,1,0,0.03571428571428571,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00065,3,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",query_decomposition,1,0,0.00980392156862745,0.0,0.0,0.0,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00065,3,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",type_aware_plus_decomposition,1,0,0.00980392156862745,0.0,0.0,0.0,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00070,3,What personality traits might Melanie say Caroline has?,type_aware,1,0,0.015151515151515152,0.0,0.0,0.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00070,3,What personality traits might Melanie say Caroline has?,query_decomposition,1,0,0.022222222222222223,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00070,3,What personality traits might Melanie say Caroline has?,type_aware_plus_decomposition,1,0,0.022222222222222223,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00078,3,Would Melanie go on another roadtrip soon?,type_aware,2,1,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00078,3,Would Melanie go on another roadtrip soon?,query_decomposition,2,1,0.02702702702702703,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00078,3,Would Melanie go on another roadtrip soon?,type_aware_plus_decomposition,2,1,0.3333333333333333,0.0,1.0,1.0,3,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00082,3,Would Caroline want to move back to her home country soon?,type_aware,3,1,0.3333333333333333,0.0,1.0,1.0,3,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666
q00082,3,Would Caroline want to move back to her home country soon?,query_decomposition,3,1,0.09090909090909091,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
q00082,3,Would Caroline want to move back to her home country soon?,type_aware_plus_decomposition,3,1,0.5,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666
q00313,3,What might John's financial status be?,type_aware,1,0,0.02857142857142857,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00313,3,What might John's financial status be?,query_decomposition,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00313,3,What might John's financial status be?,type_aware_plus_decomposition,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00319,3,Would John be considered a patriotic person?,type_aware,2,1,0.013333333333333334,0.0,0.0,0.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00319,3,Would John be considered a patriotic person?,query_decomposition,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00319,3,Would John be considered a patriotic person?,type_aware_plus_decomposition,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00322,3,What might John's degree be in?,type_aware,3,1,1.0,1.0,1.0,1.0,1,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,1.0,1.0
q00322,3,What might John's degree be in?,query_decomposition,3,1,1.0,1.0,1.0,1.0,1,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666
