query_id,original_query_id,split_id,split_seed,query_type,method,mrr,recall@1,recall@3,recall@5,first_rank
record_01:q00001,q00001,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00001,q00001,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00003,q00003,record_01,record_01,3,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00003,q00003,record_01,record_01,3,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00004,q00004,record_01,record_01,1,type_aware,0.05263157894736842,0.0,0.0,0.0,19
record_01:q00004,q00004,record_01,record_01,1,candidate_reranker_loco,0.1111111111111111,0.0,0.0,0.0,9
record_01:q00005,q00005,record_01,record_01,1,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00005,q00005,record_01,record_01,1,candidate_reranker_loco,0.2,0.0,0.0,1.0,5
record_01:q00006,q00006,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00006,q00006,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00007,q00007,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00007,q00007,record_01,record_01,2,candidate_reranker_loco,0.25,0.0,0.0,1.0,4
record_01:q00008,q00008,record_01,record_01,1,type_aware,0.037037037037037035,0.0,0.0,0.0,27
record_01:q00008,q00008,record_01,record_01,1,candidate_reranker_loco,0.0,0.0,0.0,0.0,0
record_01:q00009,q00009,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00009,q00009,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00010,q00010,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00010,q00010,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00011,q00011,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00011,q00011,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00012,q00012,record_01,record_01,1,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00012,q00012,record_01,record_01,1,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00013,q00013,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00013,q00013,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00014,q00014,record_01,record_01,1,type_aware,0.5,0.0,1.0,1.0,2
record_01:q00014,q00014,record_01,record_01,1,candidate_reranker_loco,0.5,0.0,1.0,1.0,2
record_01:q00015,q00015,record_01,record_01,3,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00015,q00015,record_01,record_01,3,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00016,q00016,record_01,record_01,1,type_aware,0.125,0.0,0.0,0.0,8
record_01:q00016,q00016,record_01,record_01,1,candidate_reranker_loco,0.05263157894736842,0.0,0.0,0.0,19
record_01:q00017,q00017,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00017,q00017,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00018,q00018,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00018,q00018,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00019,q00019,record_01,record_01,1,type_aware,0.25,0.0,0.0,1.0,4
record_01:q00019,q00019,record_01,record_01,1,candidate_reranker_loco,0.25,0.0,0.0,1.0,4
record_01:q00020,q00020,record_01,record_01,1,type_aware,0.5,0.0,1.0,1.0,2
record_01:q00020,q00020,record_01,record_01,1,candidate_reranker_loco,0.5,0.0,1.0,1.0,2
record_01:q00021,q00021,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00021,q00021,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00022,q00022,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00022,q00022,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00023,q00023,record_01,record_01,3,type_aware,0.5,0.0,1.0,1.0,2
record_01:q00023,q00023,record_01,record_01,3,candidate_reranker_loco,0.5,0.0,1.0,1.0,2
record_01:q00024,q00024,record_01,record_01,1,type_aware,0.16666666666666666,0.0,0.0,0.0,6
record_01:q00024,q00024,record_01,record_01,1,candidate_reranker_loco,0.3333333333333333,0.0,1.0,1.0,3
record_01:q00025,q00025,record_01,record_01,1,type_aware,0.16666666666666666,0.0,0.0,0.0,6
record_01:q00025,q00025,record_01,record_01,1,candidate_reranker_loco,0.3333333333333333,0.0,1.0,1.0,3
record_01:q00026,q00026,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00026,q00026,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00028,q00028,record_01,record_01,3,type_aware,0.2,0.0,0.0,1.0,5
record_01:q00028,q00028,record_01,record_01,3,candidate_reranker_loco,0.25,0.0,0.0,1.0,4
record_01:q00029,q00029,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00029,q00029,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00030,q00030,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00030,q00030,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00032,q00032,record_01,record_01,2,type_aware,0.04,0.0,0.0,0.0,25
record_01:q00032,q00032,record_01,record_01,2,candidate_reranker_loco,0.047619047619047616,0.0,0.0,0.0,21
record_01:q00033,q00033,record_01,record_01,1,type_aware,0.25,0.0,0.0,1.0,4
record_01:q00033,q00033,record_01,record_01,1,candidate_reranker_loco,0.09090909090909091,0.0,0.0,0.0,11
record_01:q00034,q00034,record_01,record_01,2,type_aware,0.25,0.0,0.0,1.0,4
record_01:q00034,q00034,record_01,record_01,2,candidate_reranker_loco,0.25,0.0,0.0,1.0,4
record_01:q00035,q00035,record_01,record_01,1,type_aware,0.02631578947368421,0.0,0.0,0.0,38
record_01:q00035,q00035,record_01,record_01,1,candidate_reranker_loco,0.06666666666666667,0.0,0.0,0.0,15
record_01:q00036,q00036,record_01,record_01,2,type_aware,0.3333333333333333,0.0,1.0,1.0,3
record_01:q00036,q00036,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00037,q00037,record_01,record_01,2,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00037,q00037,record_01,record_01,2,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00039,q00039,record_01,record_01,1,type_aware,1.0,1.0,1.0,1.0,1
record_01:q00039,q00039,record_01,record_01,1,candidate_reranker_loco,1.0,1.0,1.0,1.0,1
record_01:q00040,q00040,record_01,record_01,1,type_aware,0.3333333333333333,0.0,1.0,1.0,3
record_01:q00040,q00040,record_01,record_01,1,candidate_reranker_loco,0.14285714285714285,0.0,0.0,0.0,7
record_01:q00041,q00041,record_01,record_01,1,type_aware,1.0,1.0,1.0,1.0,1
