audit_id,query_id,query,query_type,auto_reason,first_rank,top_memory_id,top_memory_type,top_memory_text,gold_memory_ids,gold_memory_types,gold_memory_texts,llm_manual_reason,llm_auto_reason_correct,llm_top_memory_relevant,llm_gold_memory_sufficient,llm_auditor_notes,human_manual_reason,human_auto_reason_correct,human_top_memory_relevant,human_gold_memory_sufficient,human_auditor_notes
audit_001,q00349,What activities has Maria done with her church friends?,1,activity_neighbor,3,llm_00605,event,Maria did community work with friends from church yesterday.,llm_00576|llm_00568|llm_00602|llm_00603|llm_00604,event|goal|plan|work,Maria went hiking with church friends last weekend and found it refreshing. || Maria had a picnic with friends from church last weekend. || John lost his job at a mechanical engineering company.,"Top memory is about community work, not specific activities like hiking or picnic.",partial,partial,yes,llm_assisted: Top memory is related but lacks specific activities; gold memories provide the answer.,,,,,
audit_002,q01430,Which locations does Deborah practice her yoga at?,1,activity_neighbor,12,llm_01830,preference,Deborah likes candles and essential oils for her yoga practice.,llm_01745|llm_01755|llm_01761|llm_01762|llm_01782|llm_01783,event|preference|relationship|work,Deborah's mother passed away. || Deborah met her new neighbor Anna yesterday at yoga in the park. || Deborah teaches yoga and spends a lot of time doing so.,Top memory mentions yoga but not locations; gold memories mention park but not specific locations.,partial,partial,unclear,"llm_assisted: Top memory is about yoga preferences, not locations; gold memories mention park but not all locations.",,,,,
audit_003,q01639,Which activity do Evan and Sam plan on doing together during September 2023?,2,activity_neighbor,6,llm_02142,plan,Evan and Sam plan to go on a hike together soon.,llm_02110,plan,Sam and Evan plan to have a painting session next Saturday.,"Top memory says hike, gold says painting; both are plans but different activities.",no,partial,yes,llm_assisted: Top memory is a plan but wrong activity; gold memory has correct plan.,,,,,
audit_004,q01760,What sports activity has Sam been doing to stay active while dealing with the knee injury?,5,activity_neighbor,3,llm_02164,health,Sam has been dealing with discomfort that limits his movement.,llm_02094|llm_02095,health|plan,Evan is planning to do physical therapy for his knee and hopes to get an appointment soon. || Evan is swimming to stay active while his knee heals.,Top memory mentions discomfort but not sports; gold mentions swimming.,partial,partial,yes,llm_assisted: Top memory is related to health but not sports; gold has swimming.,,,,,
audit_005,q01915,How does Calvin describe his music in relation to capturing feelings?,4,activity_neighbor,4,llm_02389,preference,Calvin values staying true to himself and being unique in his music.,llm_02463,preference,Calvin uses music as a form of therapy to express himself and work through emotions.,"Top memory about uniqueness, gold about therapy; both relate to music but different aspects.",partial,partial,yes,"llm_assisted: Top memory is about values, gold about expression; both relevant but not exact.",,,,,
audit_006,q00028,Would Caroline pursue writing as a career option?,3,career_education_neighbor,5,llm_00045,goal,Caroline is exploring counseling or mental health work as a career.,llm_00058|llm_00060,goal|hobby,Caroline is exploring counseling and mental health career options. || Caroline loves reading and considers books a huge part of her journey.,"top memory about counseling, but query asks about writing career; gold includes reading hobby, so partial relevance",partial,partial,no,llm_assisted: Top memory is related to career exploration but not writing; gold includes reading hobby which is relevant.,,,,,
audit_007,q00442,What happened to John's job in August 2023?,4,career_education_neighbor,4,llm_01643,plan,John has a day off tomorrow (27 August 2022).,llm_00602|llm_00603|llm_00604,goal|plan|work,John lost his job at a mechanical engineering company. || John is looking for opportunities in the tech industry. || John found a potential job at a tech company that needs his mechanical skills for their hardware team.,"top memory is about a day off in 2022, not about job loss in 2023; gold has job loss and job search",no,no,yes,llm_assisted: Top memory is irrelevant; gold memories directly answer the query.,,,,,
audit_008,q00583,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,3,career_education_neighbor,3,llm_00769,goal,Joanna recently started writing a book because her movie did well.,llm_00889|llm_00890,goal|work,Joanna is filming her own movie based on her road-trip script. || Joanna's movie is based on her road-trip script.,"top memory about writing a book, but query asks about job duties from movie scripts; gold mentions filming movie",partial,partial,yes,llm_assisted: Top memory is related to writing but not specifically job duties; gold memories are sufficient.,,,,,
audit_009,q00889,What does Tim have that serves as a reminder of hard work and is his prized possession?,4,career_education_neighbor,13,llm_01062,hobby,Tim enjoys reading and does it as usual.,llm_01050,hobby,"Tim owns a basketball signed by his favorite player, LeBron James.","top memory about reading, but query asks about prized possession; gold has basketball signed by LeBron",no,no,yes,llm_assisted: Top memory is irrelevant; gold memory directly answers.,,,,,
audit_010,q00183,What did Melanie find in her neighborhood during her walk?,5,gold_below_top20,24,llm_00077,family,Melanie's family supported her during her move.,llm_00134,event,Caroline saw a rainbow sidewalk for Pride Month in her neighborhood.,"top memory about family support, but query asks about finding something in neighborhood; gold has rainbow sidewalk",no,no,yes,llm_assisted: Top memory is irrelevant; gold memory directly answers.,,,,,
