claim,status,evidence,support_level,primary_artifacts,paper_use,remaining_gap
DeepSeek 抽取的事实级记忆在 LoCoMo10 上具备竞争力。,main_result,"DeepSeek fact + type-aware: MRR 0.609, R@5 0.733; LoCoMo observation + type-aware: MRR 0.583, R@5 0.703.",strong_cached,agent_memory_baseline_comparison_locomo10.csv; agent_memory_llm_extraction_locomo10_comparison_zh.md,可以作为记忆形态对比主结果，但需要说明当前仍是 LoCoMo10 切片。,仍需在 LoCoMo10 之外补外部数据或更大真实 memory bank，才能宣称广泛泛化。
事实级记忆相比 LoCoMo observation memory 能减少存储 token。,main_result,"Fact memory tokens 31148 vs observation 40241; ratio 0.774, saving about 22.6%.",strong_cached,agent_memory_baseline_comparison_locomo10.csv; agent_memory_cost_latency_locomo10_zh.md,可以支撑 memory compression / storage efficiency 动机。,需要把抽取 API 成本和检索阶段存储成本分开报告；方差可引用 writer stability report。
type-aware 重排相比 time-aware 重排有小幅但统计可靠的提升。,ablation_result,"MRR 0.605 -> 0.609, delta +0.0042, p=0.0072; R@5 delta +0.0065, p=0.0028.",statistically_supported_small_effect,agent_memory_type_aware_significance_results.csv; agent_memory_type_aware_significance_zh.md,可以写成一个有用但幅度有限的打分组件。,不要夸大 Recall@1 / Recall@3，因为它们没有通过显著性检验。
候选级学习重排是当前最强的方法贡献。,main_method,"Held-out type-aware MRR 0.607, R@5 0.733; candidate reranker MRR 0.661, R@5 0.796; MRR delta +0.0539, p=0.0002; R@5 delta +0.0623, p=0.0002. LOCO split: type-aware MRR 0.608, candidate reranker MRR 0.657; weighted MRR delta +0.0504, p=0.0002; weighted R@5 delta +0.0522, p=0.0002.",strong_heldout_and_loco_statistical,agent_memory_candidate_reranker_locomo10_summary.csv; agent_memory_candidate_reranker_significance_results.csv; agent_memory_candidate_reranker_loco_summary.csv; agent_memory_candidate_reranker_loco_significance_results.csv,应作为当前论文方法增量的核心结果。,LOCO 已支持跨 LoCoMo conversation 泛化；若要宣称跨数据集泛化，仍需外部数据集验证。
Type 3 多证据问题仍是当前方法边界。,negative_result,"Type 3 best method type_aware with MRR 0.429, R@5 0.547; mean gold evidence 2.651, multi-evidence share 67.5%; Type 5 multi-evidence share is only 35.4%.",strong_diagnostic,agent_memory_query_type_locomo10_best_methods.csv; agent_memory_multi_evidence_coverage_summary.csv,可以作为 limitations 和下一步研究问题的主要依据。,需要更强的 listwise / setwise objective 或 LLM decomposition，不能宣称已解决 Type 3。
浅层 Type 3 修复方法无法解决多证据检索。,negative_result,"Supervised set selector Coverage@5 delta -0.0572, p=0.0286; Type3-specific reranker and keyword decomposition also reduce Coverage@5.",statistically_supported_negative,agent_memory_type3_coverage_significance_summary.csv; agent_memory_type3_coverage_significance_zh.md,适合作为边界/负结果消融，而不是作为改进方法。,下一步应尝试 LLM 子问题生成或真正的 setwise objective。
向量候选预筛选可以在不损害质量的情况下提升检索速度。,efficiency_result,"Sklearn exact NN top-200 + type-aware MRR 0.613, R@5 0.734; delta vs full type-aware MRR +0.0032.",strong_cached_efficiency,agent_memory_sklearn_nn_prefilter_locomo10_summary.csv; agent_memory_sklearn_nn_prefilter_locomo10_zh.md,可以支撑论文效率实验章节。,需要统一报告 wall-clock 设置，并在更大的真实 memory bank 上验证。
100k 记忆规模下 ANN 的速度-质量权衡并非天然占优。,efficiency_boundary,"100k Flat candidate gold recall 0.952, query 0.360s; IVF nprobe=4 recall 0.737, query 0.199s.",synthetic_scale_diagnostic,agent_memory_faiss_scale_100k_locomo10.csv; agent_memory_faiss_scale_100k_locomo10_zh.md,可以作为扩展性诊断，但必须标注为 synthetic distractor stress test。,需要真实的大规模 conversation memory bank 才能形成更强系统结论。
当前仓库已经具备可复现的缓存实验包。,reproducibility,Reproducibility artifact gate 57/57 and metric gate 5/5.,artifact_checked,agent_memory_reproducibility_checklist_zh.md; agent_memory_environment_snapshot_zh.md,可以用于论文 appendix 和内部复现实验。,全新 clone 仍需要按文档准备模型/embedding cache，因为大缓存不进入 Git。
自动错误分析已经具备人工复核入口，并已有 LLM-assisted 预标注。,reliability_protocol,"已从 type-aware Top-1 错误中分层抽样 80 条；当前已汇总人工标注 0 条；LLM-assisted 预标注 80 条，auto_reason_correct yes/partial/no=28/29/23；Human/LLM 确认表已生成，人工确认 0 条，非法标签 0；readiness gate: priority20 0/20, full80 0/80。",llm_assisted_protocol_ready,agent_memory_human_audit_sample_type_aware.csv; agent_memory_human_audit_protocol_zh.md; agent_memory_llm_audit_summary_zh.md; agent_memory_llm_audit_report_zh.md; agent_memory_human_llm_audit_confirmation.csv; agent_memory_human_llm_audit_agreement_zh.md; agent_memory_human_audit_readiness_gate_zh.md,可以说明已有 LLM-assisted 预复核流程；在人工确认前，不能把它写成人工验证结论。,需要在 confirmation CSV 中填写 human_* 字段，并重新运行一致性脚本，得到 exact agreement 与 Cohen's kappa。
