group,label,value,count,share,yes,partial,no,unlabeled
field,auto_reason_correct,yes,28,0.35,,,,
field,auto_reason_correct,partial,29,0.3625,,,,
field,auto_reason_correct,no,23,0.2875,,,,
field,top_memory_relevant,yes,1,0.0125,,,,
field,top_memory_relevant,partial,55,0.6875,,,,
field,top_memory_relevant,no,24,0.3,,,,
field,gold_memory_sufficient,yes,63,0.7875,,,,
field,gold_memory_sufficient,no,12,0.15,,,,
field,gold_memory_sufficient,unclear,5,0.0625,,,,
auto_reason,activity_neighbor,auto_reason_correct,5,0.4,0,4,1,0
auto_reason,career_education_neighbor,auto_reason_correct,4,0.25,0,2,2,0
auto_reason,gold_below_top20,auto_reason_correct,13,0.9230769230769231,12,0,1,0
auto_reason,identity_neighbor,auto_reason_correct,3,1.0,3,0,0,0
auto_reason,memory_type_mismatch,auto_reason_correct,23,0.5434782608695652,8,9,6,0
auto_reason,other,auto_reason_correct,8,0.1875,0,3,5,0
auto_reason,persona_confusion,auto_reason_correct,5,1.0,5,0,0,0
auto_reason,preference_neighbor,auto_reason_correct,4,0.5,0,4,0,0
auto_reason,relationship_neighbor,auto_reason_correct,4,0.0,0,0,4,0
auto_reason,semantic_neighbor,auto_reason_correct,5,0.3,0,3,2,0
auto_reason,temporal_neighbor,auto_reason_correct,6,0.3333333333333333,0,4,2,0
