check,kind,pass,current_path,expected_sha256,current_sha256,current_size_bytes,expected_size_bytes,evidence
source_exists:agent_memory_baseline_comparison_locomo10.csv,source,True,outputs/agent_memory_baseline_comparison_locomo10.csv,,c5873d9692feed74e183156758205efb64ae123858f9cef824990986e4ebf927,1146,,source CSV exists
source_exists:agent_memory_candidate_reranker_locomo10_summary.csv,source,True,outputs/agent_memory_candidate_reranker_locomo10_summary.csv,,8ae738e18ea91fde8b68097bbb6634abaedcf572acafd54b300dc018de4c5b49,680,,source CSV exists
source_exists:agent_memory_candidate_reranker_significance_results.csv,source,True,outputs/agent_memory_candidate_reranker_significance_results.csv,,ed8c0c4f30002d5c6fd384cafe296d9fb759bdc930c5a014abdd5d4d62238921,868,,source CSV exists
source_exists:agent_memory_candidate_reranker_loco_summary.csv,source,True,outputs/agent_memory_candidate_reranker_loco_summary.csv,,282d33bb430379ad0664ca6e915bbd4eec43611cca7b770b063c50a2b2d01b94,684,,source CSV exists
source_exists:agent_memory_candidate_reranker_loco_significance_results.csv,source,True,outputs/agent_memory_candidate_reranker_loco_significance_results.csv,,88f708ec2e8a8f94fbe5f3d4dd5c8f3435e417fd5e3344fd4d1f6988c1c100ea,905,,source CSV exists
source_exists:agent_memory_candidate_reranker_intrinsic_loco_summary.csv,source,True,outputs/agent_memory_candidate_reranker_intrinsic_loco_summary.csv,,c1e78afd3a40ba9ef2a07b1c5f6044c50d4b0c24610d97a127207e9b81671f81,685,,source CSV exists
source_exists:agent_memory_candidate_reranker_feature_ablation_deltas.csv,source,True,outputs/agent_memory_candidate_reranker_feature_ablation_deltas.csv,,51b2e15e43b64049d58d10e72dbae55575897513b7cba2e3f0578eb465a3523a,1407,,source CSV exists
source_exists:agent_memory_type3_specific_reranker_summary.csv,source,True,outputs/agent_memory_type3_specific_reranker_summary.csv,,b4f837ed1e3bc128bd070bc94218e623f0b0cf2bbd6f29ebe4eb8594ffd51f6b,881,,source CSV exists
source_exists:agent_memory_type3_supervised_set_selector_summary.csv,source,True,outputs/agent_memory_type3_supervised_set_selector_summary.csv,,f51e26c630e1bdb309e32b858d8c711e998f659a54ef77416913dc51c426bbfa,1074,,source CSV exists
source_exists:agent_memory_type3_query_decomposition_summary.csv,source,True,outputs/agent_memory_type3_query_decomposition_summary.csv,,4f94bd0a0302d0d0d193a583b0f53e8dbb19d0e0b05ada008cf7cc70cac18fd9,1604,,source CSV exists
source_exists:agent_memory_type3_coverage_significance_summary.csv,source,True,outputs/agent_memory_type3_coverage_significance_summary.csv,,e16c53f1ba6d22bffc453661c557257f2e80ac61c5550c107e61e63e62e1ed98,2566,,source CSV exists
source_exists:agent_memory_sklearn_nn_prefilter_locomo10_summary.csv,source,True,outputs/agent_memory_sklearn_nn_prefilter_locomo10_summary.csv,,850a3d613e1d42ba8eb3f32d6119804869d75a4a714ab7f9e377b1c1e2aee474,1591,,source CSV exists
markdown_matches_regenerated,markdown,True,outputs/agent_memory_paper_tables_zh.md,858492c8a2dd54434aef41a01a0fb3a66070a6d52ed4eaefb2756f7eb57c0f5e,858492c8a2dd54434aef41a01a0fb3a66070a6d52ed4eaefb2756f7eb57c0f5e,3724,3724,byte-identical to regenerated table artifact
latex_matches_regenerated,latex,True,outputs/agent_memory_paper_tables.tex,374a8b1897b8d36610ed45e72036b89bf87cffdee355f70eb57a10c942718330,374a8b1897b8d36610ed45e72036b89bf87cffdee355f70eb57a10c942718330,5197,5197,byte-identical to regenerated table artifact
markdown_table_sections_present,structure,True,outputs/agent_memory_paper_tables_zh.md,,,,,markdown sections=11
latex_table_count,structure,True,outputs/agent_memory_paper_tables.tex,,,,,latex tables=11
latex_labels_unique,structure,True,outputs/agent_memory_paper_tables.tex,,,,,"labels=11, unique=11"
