split_seed,query_id,query_type,query,method,num_gold,is_multi_evidence,any_hit@1,full_coverage@1,coverage_ratio@1,any_hit@3,full_coverage@3,coverage_ratio@3,any_hit@5,full_coverage@5,coverage_ratio@5,any_hit@10,full_coverage@10,coverage_ratio@10
13,q00006,2,When did Melanie run a charity race?,type_aware,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,q00006,2,When did Melanie run a charity race?,candidate_reranker,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,q00008,1,What is Caroline's relationship status?,type_aware,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,q00008,1,What is Caroline's relationship status?,candidate_reranker,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,q00009,2,When did Caroline give a speech at a school?,type_aware,2,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
13,q00009,2,When did Caroline give a speech at a school?,candidate_reranker,2,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
13,q00010,2,"When did Caroline meet up with her friends, family, and mentors?",type_aware,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,q00010,2,"When did Caroline meet up with her friends, family, and mentors?",candidate_reranker,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,q00012,1,Where did Caroline move from 4 years ago?,type_aware,4,1,1.0,0.0,0.25,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
13,q00012,1,Where did Caroline move from 4 years ago?,candidate_reranker,4,1,1.0,0.0,0.25,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
13,q00013,2,How long ago was Caroline's 18th birthday?,type_aware,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,q00013,2,How long ago was Caroline's 18th birthday?,candidate_reranker,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,q00021,2,When did Melanie go to the museum?,type_aware,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,q00021,2,When did Melanie go to the museum?,candidate_reranker,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,q00025,1,What does Melanie do to destress?,type_aware,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
13,q00025,1,What does Melanie do to destress?,candidate_reranker,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5
13,q00029,2,When did Caroline go to the adoption meeting?,type_aware,2,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
13,q00029,2,When did Caroline go to the adoption meeting?,candidate_reranker,2,1,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
