split_seed,query_id,query,num_facets,facets,num_facet_candidates,num_gold
13,q00051,What would Caroline's political leaning likely be?,4,original:What would Caroline's political leaning likely be? || content:caroline caroline political leaning || intent:caroline preference hobby enjoy || intent_content:caroline preference hobby enjoy caroline political leaning,72,2
13,q00060,Would Caroline be considered religious?,2,original:Would Caroline be considered religious? || content:caroline caroline considered religious,48,4
13,q00502,What pets wouldn't cause any discomfort to Joanna?,4,original:What pets wouldn't cause any discomfort to Joanna? || content:joanna pets wouldn cause any discomfort joanna || intent:joanna reason motive cause decision || intent_content:joanna reason motive cause decision pets wouldn cause any discomfort joanna,78,1
13,q00564,What alternative career might Nate consider after gaming?,5,original:What alternative career might Nate consider after gaming? || content:nate alternative career nate consider after gaming || clause:nate alternative career nate consider || intent:nate career education work goal plan || intent_content:nate career education work goal plan alternative career nate consider after gaming,73,4
13,q00582,Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.,6,original:Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no. || content:joanna nate first half september 2022 good month career wise nate joanna answer yes || clause:joanna nate first half september 2022 good month career wise nate || clause:joanna nate joanna answer yes || intent:joanna nate career education work goal plan || intent_content:joanna nate career education work goal plan first half september 2022 good month career wise nate joanna answer yes,87,4
13,q00583,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,6,original:What kind of job is Joanna beginning to preform the duties of because of her movie scripts? || content:joanna job joanna beginning preform duties because movie scripts || clause:joanna job joanna beginning preform duties || clause:joanna movie scripts || intent:joanna reason motive cause decision || intent_content:joanna reason motive cause decision job joanna beginning preform duties because movie scripts,89,2
13,q00585,What state did Nate visit?,4,original:What state did Nate visit? || content:nate state nate visit || intent:nate place location live move || intent_content:nate place location live move state nate visit,66,2
13,q00761,Would Tim enjoy reading books by C. S. Lewis or John Greene?,6,original:Would Tim enjoy reading books by C. S. Lewis or John Greene? || content:john tim tim enjoy reading books lewis john greene || clause:john tim tim enjoy reading books lewis || clause:john tim john greene || intent:john tim preference hobby enjoy || intent_content:john tim preference hobby enjoy tim enjoy reading books lewis john greene,95,3
13,q00790,Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios?,6,original:Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios? || content:tim states tim during september 2023 based plans visiting universal studios || clause:tim states tim during september 2023 || clause:tim plans visiting universal studios || intent:tim place location live move || intent_content:tim place location live move states tim during september 2023 based plans visiting universal studios,80,3
13,q00811,What other exercises can help John with his basketball performance?,2,original:What other exercises can help John with his basketball performance? || content:john other exercises can help john basketball performance,59,3
