split_seed,query_id,query_type,method,mrr,recall@1,recall@3,recall@5,first_rank,first_relevant_memory_id
13,q00051,3,type_aware,0.0,0.0,0.0,0.0,0,
13,q00060,3,type_aware,1.0,1.0,1.0,1.0,1,llm_00107
13,q00502,3,type_aware,0.0,0.0,0.0,0.0,0,
13,q00564,3,type_aware,0.0,0.0,0.0,0.0,0,
13,q00582,3,type_aware,0.0,0.0,0.0,0.0,0,
13,q00583,3,type_aware,0.3333333333333333,0.0,1.0,1.0,3,llm_00889
13,q00585,3,type_aware,0.0,0.0,0.0,0.0,0,
13,q00761,3,type_aware,0.0,0.0,0.0,0.0,0,
13,q00790,3,type_aware,1.0,1.0,1.0,1.0,1,llm_00988
13,q00811,3,type_aware,1.0,1.0,1.0,1.0,1,llm_00962
13,q01165,3,type_aware,1.0,1.0,1.0,1.0,1,llm_01482
13,q01170,3,type_aware,0.16666666666666666,0.0,0.0,0.0,6,llm_01493
13,q01175,3,type_aware,1.0,1.0,1.0,1.0,1,llm_01518
13,q01183,3,type_aware,1.0,1.0,1.0,1.0,1,llm_01556
13,q01188,3,type_aware,1.0,1.0,1.0,1.0,1,llm_01590
13,q01191,3,type_aware,0.125,0.0,0.0,0.0,8,llm_01595
13,q01193,3,type_aware,0.5,0.0,1.0,1.0,2,llm_01599
13,q01194,3,type_aware,1.0,1.0,1.0,1.0,1,llm_01601
13,q01384,3,type_aware,0.1,0.0,0.0,0.0,10,llm_01802
13,q01592,3,type_aware,0.0,0.0,0.0,0.0,0,
13,q01607,3,type_aware,0.2,0.0,0.0,1.0,5,llm_02056
13,q01630,3,type_aware,0.2,0.0,0.0,1.0,5,llm_02072
13,q01644,3,type_aware,0.1,0.0,0.0,0.0,10,llm_02132
13,q01790,3,type_aware,0.3333333333333333,0.0,1.0,1.0,3,llm_02276
13,q00051,3,global_candidate_reranker,0.05555555555555555,0.0,0.0,0.0,18,llm_00108
13,q00060,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1,llm_00107
13,q00502,3,global_candidate_reranker,0.058823529411764705,0.0,0.0,0.0,17,llm_00638
13,q00564,3,global_candidate_reranker,0.0,0.0,0.0,0.0,0,
13,q00582,3,global_candidate_reranker,0.0,0.0,0.0,0.0,0,
13,q00583,3,global_candidate_reranker,0.09090909090909091,0.0,0.0,0.0,11,llm_00890
13,q00585,3,global_candidate_reranker,0.0,0.0,0.0,0.0,0,
13,q00761,3,global_candidate_reranker,0.0,0.0,0.0,0.0,0,
13,q00790,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1,llm_00988
13,q00811,3,global_candidate_reranker,0.2,0.0,0.0,1.0,5,llm_00962
13,q01165,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1,llm_01482
13,q01170,3,global_candidate_reranker,0.05555555555555555,0.0,0.0,0.0,18,llm_01493
13,q01175,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1,llm_01518
13,q01183,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1,llm_01556
13,q01188,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1,llm_01590
13,q01191,3,global_candidate_reranker,0.2,0.0,0.0,1.0,5,llm_01595
13,q01193,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1,llm_01599
13,q01194,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1,llm_01601
13,q01384,3,global_candidate_reranker,0.1111111111111111,0.0,0.0,0.0,9,llm_01950
13,q01592,3,global_candidate_reranker,0.0,0.0,0.0,0.0,0,
13,q01607,3,global_candidate_reranker,0.14285714285714285,0.0,0.0,0.0,7,llm_02056
13,q01630,3,global_candidate_reranker,0.14285714285714285,0.0,0.0,0.0,7,llm_02071
13,q01644,3,global_candidate_reranker,0.1,0.0,0.0,0.0,10,llm_02132
13,q01790,3,global_candidate_reranker,0.3333333333333333,0.0,1.0,1.0,3,llm_02277
13,q00051,3,type3_specific_reranker,0.041666666666666664,0.0,0.0,0.0,24,llm_00108
13,q00060,3,type3_specific_reranker,0.3333333333333333,0.0,1.0,1.0,3,llm_00107
13,q00502,3,type3_specific_reranker,0.037037037037037035,0.0,0.0,0.0,27,llm_00638
13,q00564,3,type3_specific_reranker,0.0,0.0,0.0,0.0,0,
13,q00582,3,type3_specific_reranker,0.0,0.0,0.0,0.0,0,
13,q00583,3,type3_specific_reranker,0.1111111111111111,0.0,0.0,0.0,9,llm_00889
13,q00585,3,type3_specific_reranker,0.0,0.0,0.0,0.0,0,
13,q00761,3,type3_specific_reranker,0.0,0.0,0.0,0.0,0,
13,q00790,3,type3_specific_reranker,1.0,1.0,1.0,1.0,1,llm_00988
13,q00811,3,type3_specific_reranker,1.0,1.0,1.0,1.0,1,llm_00962
13,q01165,3,type3_specific_reranker,1.0,1.0,1.0,1.0,1,llm_01482
13,q01170,3,type3_specific_reranker,0.125,0.0,0.0,0.0,8,llm_01493
13,q01175,3,type3_specific_reranker,1.0,1.0,1.0,1.0,1,llm_01518
13,q01183,3,type3_specific_reranker,1.0,1.0,1.0,1.0,1,llm_01556
13,q01188,3,type3_specific_reranker,0.5,0.0,1.0,1.0,2,llm_01590
13,q01191,3,type3_specific_reranker,0.14285714285714285,0.0,0.0,0.0,7,llm_01595
13,q01193,3,type3_specific_reranker,1.0,1.0,1.0,1.0,1,llm_01599
13,q01194,3,type3_specific_reranker,1.0,1.0,1.0,1.0,1,llm_01601
13,q01384,3,type3_specific_reranker,0.3333333333333333,0.0,1.0,1.0,3,llm_01950
13,q01592,3,type3_specific_reranker,0.0,0.0,0.0,0.0,0,
13,q01607,3,type3_specific_reranker,0.2,0.0,0.0,1.0,5,llm_02056
13,q01630,3,type3_specific_reranker,0.16666666666666666,0.0,0.0,0.0,6,llm_02071
13,q01644,3,type3_specific_reranker,0.09090909090909091,0.0,0.0,0.0,11,llm_02132
13,q01790,3,type3_specific_reranker,0.25,0.0,0.0,1.0,4,llm_02276
13,q00051,3,supervised_set_selector,0.041666666666666664,0.0,0.0,0.0,24,llm_00108
13,q00060,3,supervised_set_selector,0.2,0.0,0.0,1.0,5,llm_00107
13,q00502,3,supervised_set_selector,0.05263157894736842,0.0,0.0,0.0,19,llm_00638
13,q00564,3,supervised_set_selector,0.0,0.0,0.0,0.0,0,
13,q00582,3,supervised_set_selector,0.0,0.0,0.0,0.0,0,
13,q00583,3,supervised_set_selector,0.05555555555555555,0.0,0.0,0.0,18,llm_00889
13,q00585,3,supervised_set_selector,0.0,0.0,0.0,0.0,0,
13,q00761,3,supervised_set_selector,0.0,0.0,0.0,0.0,0,
13,q00790,3,supervised_set_selector,1.0,1.0,1.0,1.0,1,llm_00988
13,q00811,3,supervised_set_selector,1.0,1.0,1.0,1.0,1,llm_00962
13,q01165,3,supervised_set_selector,1.0,1.0,1.0,1.0,1,llm_01482
13,q01170,3,supervised_set_selector,0.25,0.0,0.0,1.0,4,llm_01493
13,q01175,3,supervised_set_selector,0.25,0.0,0.0,1.0,4,llm_01518
13,q01183,3,supervised_set_selector,1.0,1.0,1.0,1.0,1,llm_01556
13,q01188,3,supervised_set_selector,1.0,1.0,1.0,1.0,1,llm_01590
13,q01191,3,supervised_set_selector,0.09090909090909091,0.0,0.0,0.0,11,llm_01595
13,q01193,3,supervised_set_selector,1.0,1.0,1.0,1.0,1,llm_01599
13,q01194,3,supervised_set_selector,1.0,1.0,1.0,1.0,1,llm_01601
13,q01384,3,supervised_set_selector,0.5,0.0,1.0,1.0,2,llm_01950
13,q01592,3,supervised_set_selector,0.0,0.0,0.0,0.0,0,
13,q01607,3,supervised_set_selector,0.3333333333333333,0.0,1.0,1.0,3,llm_02056
13,q01630,3,supervised_set_selector,0.14285714285714285,0.0,0.0,0.0,7,llm_02121
13,q01644,3,supervised_set_selector,0.043478260869565216,0.0,0.0,0.0,23,llm_02132
13,q01790,3,supervised_set_selector,0.2,0.0,0.0,1.0,5,llm_02276
13,q00051,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_00108
13,q00060,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_00131
13,q00502,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_00638
13,q00564,3,candidate_oracle,0.0,0.0,0.0,0.0,0,
13,q00582,3,candidate_oracle,0.0,0.0,0.0,0.0,0,
13,q00583,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_00889
13,q00585,3,candidate_oracle,0.0,0.0,0.0,0.0,0,
13,q00761,3,candidate_oracle,0.0,0.0,0.0,0.0,0,
13,q00790,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_00988
13,q00811,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_00962
13,q01165,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_01483
13,q01170,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_01493
13,q01175,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_01518
13,q01183,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_01556
13,q01188,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_01590
13,q01191,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_01595
13,q01193,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_01599
13,q01194,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_01601
13,q01384,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_01923
13,q01592,3,candidate_oracle,0.0,0.0,0.0,0.0,0,
13,q01607,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_02056
13,q01630,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_02031
13,q01644,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_02132
13,q01790,3,candidate_oracle,1.0,1.0,1.0,1.0,1,llm_02277
17,q00023,3,type_aware,0.5,0.0,1.0,1.0,2,llm_00049
17,q00060,3,type_aware,1.0,1.0,1.0,1.0,1,llm_00107
17,q00065,3,type_aware,0.0,0.0,0.0,0.0,0,
17,q00070,3,type_aware,0.0,0.0,0.0,0.0,0,
17,q00322,3,type_aware,1.0,1.0,1.0,1.0,1,llm_00441
17,q00498,3,type_aware,0.0,0.0,0.0,0.0,0,
17,q00502,3,type_aware,0.0,0.0,0.0,0.0,0,
17,q00510,3,type_aware,1.0,1.0,1.0,1.0,1,llm_00666
17,q00583,3,type_aware,0.3333333333333333,0.0,1.0,1.0,3,llm_00889
