claim_id,group,severity,status,manuscript_path,source_path,manuscript_match,source_match,manuscript_evidence,source_evidence,guidance
fact_type_aware_main,main_result,critical,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_paper_tables_zh.md,True,True,间感知重排、type-aware 重排和候选级学习重排。实验显示，DeepSeek fact memory + type-aware reranking 达到 MRR 0.609、Recall@5 0.733，高于 LoCoMo observation memory + type-aware 的 MRR 0.583、Recall@5 0.703。候选级学习重排进一步,| 0.647 | 0.705 | 0.583 | | time_aware | 1838 | 0.499 | 0.668 | 0.727 | 0.605 | | type_aware | 1838 | 0.503 | 0.670 | 0.733 | 0.609 | ## 记忆形态对比 | Memory | Queries | R@1 | R@3 | R@5 | MRR | | --- | --- | --- | --,更新正文主结果或重新生成 paper tables。
observation_type_aware_main,main_result,critical,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_paper_tables_zh.md,True,True,ranking 达到 MRR 0.609、Recall@5 0.733，高于 LoCoMo observation memory + type-aware 的 MRR 0.583、Recall@5 0.703。候选级学习重排进一步将 held-out MRR 从 0.607 提升至 0.661，而 feature ablation 显示更简洁的 intrinsic,--- | --- | --- | | llm_extracted_fact | 1838 | 0.503 | 0.670 | 0.733 | 0.609 | | locomo_observation | 1638 | 0.483 | 0.639 | 0.703 | 0.583 | ## 候选级学习重排 | Method | Splits | R@1 | R@3 | R@5 | MRR | | --- | --- | --- | --,确认 observation memory 口径后更新正文。
candidate_reranker_heldout,reranker,critical,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_paper_tables_zh.md,True,True,Candidate-Level Reranking 是主要收益来源 在 held-out split 下，full candidate reranker 将 MRR 从 0.607 提升到 0.661，MRR delta 为 +0.0539，p=0.0002；Recall@5 delta 为 +0.0623。进一步的 feature-group ablati,-- | --- | --- | --- | --- | | type_aware | 5 | 0.499 | 0.670 | 0.733 | 0.607 | | candidate_reranker | 5 | 0.556 | 0.732 | 0.796 | 0.661 | | candidate_oracle | 5 | 0.909 | 0.909 | 0.909 | 0.909 | ## 候选级重排显著性 | Metric,同步 held-out candidate reranker 主指标。
intrinsic_reranker_heldout,reranker,critical,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_paper_tables_zh.md,True,True,"elta 为 +0.0539，p=0.0002；Recall@5 delta 为 +0.0623。进一步的 feature-group ablation 显示，intrinsic feature reranker 达到 MRR 0.672、Recall@5 0.801，相对 type-aware 的 MRR delta 为 +0.0652，95% CI=[0.0545, 0.0763]；相对 full reranker 的",ΔMRR vs Full | R@5 | ΔR@5 vs Type-Aware | | --- | --- | --- | --- | --- | --- | | ablation_intrinsic_only | 0.672 | +0.0652 | +0.0113 | 0.801 | +0.0681 | | ablation_full | 0.661 | +0.0539 | +0.0000 | 0.796 | +0.0623 | | ablation_no_t,同步 intrinsic-only ablation 主指标。
intrinsic_reranker_loco,reranker,critical,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_paper_tables_zh.md,True,True,"0414，平均 fraction-level ΔMRR=+0.0608。在 LOCO split 下，intrinsic feature reranker 的 MRR 为 0.664、Recall@5 为 0.797，相对 type-aware 的 MRR delta 为 +0.0567，95% CI=[0.0439, 0.0696]，Recall@5 delta 为 +0",- | --- | --- | --- | --- | | type_aware | 10 | 0.503 | 0.669 | 0.732 | 0.608 | | intrinsic_reranker_loco | 10 | 0.559 | 0.742 | 0.797 | 0.664 | | candidate_oracle | 10 | 0.911 | 0.911 | 0.911 | 0.911 | ## 候选级重排特征组消融 | Met,同步 LOCO intrinsic reranker 指标。
type_aware_significance,significance,major,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_type_aware_significance_zh.md,True,True,y representation。 ### 5.2 Type-Aware Reranking 的作用 type-aware 相比 time-aware 的 MRR delta 为 +0.0042，p=0.0072；Recall@5 delta 为 +0.0065，p=0.0028。该增益幅度不大，但在 MRR 和 Recall@5 上具有统计支持，因此适合写作一个有用的固定打分组件。 ### 5.3 Intrinsic Candida,"alue | Improved | Worsened | Tied | |---|---|---|---:|---:|---:|---:|---:|---:| | mrr | time_aware | type_aware | 0.004213 | [0.001214, 0.007182] | 0.0072 | 174 | 80 | 1584 | | recall@1 | time_aware | t",同步 type-aware vs time-aware 显著性表述。
candidate_significance,significance,critical,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_paper_tables_zh.md,True,True,ing 是主要收益来源 在 held-out split 下，full candidate reranker 将 MRR 从 0.607 提升到 0.661，MRR delta 为 +0.0539，p=0.0002；Recall@5 delta 为 +0.0623。进一步的 feature-group ablation 显示，intrinsic feature reranker 达到 MRR 0.672、Recall@5,"| ## 候选级重排显著性 | Metric | Delta | 95% CI | p-value | | --- | --- | --- | --- | | mrr | +0.0539 | [0.0462, 0.0619] | 0.0002 | | recall@5 | +0.0623 | [0.0500, 0.0746] | 0.0002 | ## 候选级重排 LOCO 验证 | Method",同步 full candidate reranker 显著性。
intrinsic_ci_claims,significance,critical,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_bootstrap_metric_ci_zh.md,True,True,"ation 显示，intrinsic feature reranker 达到 MRR 0.672、Recall@5 0.801，相对 type-aware 的 MRR delta 为 +0.0652，95% CI=[0.0545, 0.0763]；相对 full reranker 的 MRR delta 为 +0.0113，95% CI=[0.0029, 0.0199]。oracle-gap 分析显示，intrinsic reranker 在 held-out MRR 上关闭 candidate-oracle gap 的 0.","nker_intrinsic_loco`：MRR delta=0.0567，95% CI=[0.0439, 0.0696]，CI 不跨 0，提升较稳定。 - `candidate_reranker_intrinsic_ablation_vs_type_aware`：MRR delta=0.0652，95% CI=[0.0545, 0.0763]，CI 不跨 0，提升较稳定。 - `candidate_reranker_intrinsic_ablation_vs_full`：MRR delta=0.01",同步 intrinsic reranker bootstrap CI。
oracle_gap_claims,oracle_gap,major,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_candidate_oracle_gap_analysis_zh.md,True,True,"RR delta 为 +0.0113，95% CI=[0.0029, 0.0199]。oracle-gap 分析显示，intrinsic reranker 在 held-out MRR 上关闭 candidate-oracle gap 的 0.215，Recall@5 closure 为 0.387；LOCO MRR closure 为 0.184，说明当前方法有效但仍未穷尽候选池上界。paired outcome 分析显示，MRR improved/worsened/tied 为 771/591/139",剩余空间更可能来自排序学习、集合选择还是候选召回。candidate oracle 不是可部署方法，只用于诊断候选池内是否存在可利用证据。 ## 总览 - Held-out intrinsic MRR oracle-gap closure: 0.215；remaining gap=+0.2375。 - Held-out intrinsic Recall@5 oracle-gap closure: 0.387；,同步 oracle-gap closure 口径。
paired_outcome_claims,paired_effect,major,pass,outputs/agent_memory_manuscript_draft_zh.md,outputs/agent_memory_candidate_reranker_paired_effect_size_zh.md,True,True,closure 为 0.387；LOCO MRR closure 为 0.184，说明当前方法有效但仍未穷尽候选池上界。paired outcome 分析显示，MRR improved/worsened/tied 为 771/591/1398，Cohen dz=0.2234；Recall@5 improved/worsened/tied 为 280/92/2388，但 Type 3 Recall@5 delta 为 -0.0476，Type 3 set Coverage@5 oracle-gap closure 为 -0,| recall@5 | 659 | 0.1032 | 0.3098 | 74/6/579 | 0.1032 | ### Interpretation - MRR: improved/worse/tie=771/591/1398，net positive rate=0.0652，Cohen dz=0.2234。 - Recall@5: improved/worse/tie=280/92,同步 paired improved/worsened/tied 数值。
