group,item,purpose,present,pass,evidence,action
required_offline_step,offline_embedding_sensitivity,encoder sensitivity diagnostic,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_execution_plan,human audit execution plan,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_annotation_codebook,human audit codebook with label rules and agreement formulas,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_sample_qc,human audit sample coverage and progress QC,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_labeling_dashboard,human audit per-row labeling progress dashboard,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_annotation_interface,offline human audit HTML annotation interface,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_annotation_interface_validation,human audit annotation interface safety validation,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_annotation_import_readiness,human audit annotation export import readiness check,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_paper_claim_upgrade,human audit paper-claim upgrade gate,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_blind_review_leakage,human audit blind review schema and leakage audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,human_audit_protocol_compliance,human audit protocol compliance and closure audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,embedding_baseline_status,external embedding status without network calls,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,embedding_provider_profiles,provider-specific external embedding command profiles,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,api_embedding_preflight,paid/API embedding preflight,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,api_embedding_run_estimate,API embedding cost/cache estimate,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,api_embedding_execution_runbook,external API embedding execution and acceptance runbook,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,embedding_baseline_comparison,BGE-M3 vs API embedding comparison status,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,api_embedding_postrun_gate,API embedding post-run completeness gate,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,api_embedding_paper_acceptance,strict API embedding paper acceptance gate,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
