split_seed,query_id,query_type,query,method,selected_method,top_memory_id,top_memory_type,top_score,mrr,recall@1,recall@3,recall@5,first_rank,first_relevant_memory_id
13,q00006,2,When did Melanie run a charity race?,candidate_reranker,candidate_reranker,llm_00011,event,0.9979358115167783,1.0,1.0,1.0,1.0,1,llm_00011
13,q00008,1,What is Caroline's relationship status?,candidate_reranker,candidate_reranker,llm_00052,identity,0.6947332503959414,0.0,0.0,0.0,0.0,0,
13,q00009,2,When did Caroline give a speech at a school?,candidate_reranker,candidate_reranker,llm_00020,event,0.7627047871706449,1.0,1.0,1.0,1.0,1,llm_00020
13,q00010,2,"When did Caroline meet up with her friends, family, and mentors?",candidate_reranker,candidate_reranker,llm_00021,relationship,0.9405532967445057,1.0,1.0,1.0,1.0,1,llm_00021
13,q00012,1,Where did Caroline move from 4 years ago?,candidate_reranker,candidate_reranker,llm_00022,relationship,0.8163194111444031,1.0,1.0,1.0,1.0,1,llm_00022
13,q00013,2,How long ago was Caroline's 18th birthday?,candidate_reranker,candidate_reranker,llm_00031,event,0.5923589457159646,1.0,1.0,1.0,1.0,1,llm_00031
13,q00021,2,When did Melanie go to the museum?,candidate_reranker,candidate_reranker,llm_00047,event,0.9564438096161332,1.0,1.0,1.0,1.0,1,llm_00047
13,q00025,1,What does Melanie do to destress?,candidate_reranker,candidate_reranker,llm_00076,preference,0.6198459963475613,0.25,0.0,0.0,1.0,4,llm_00065
13,q00029,2,When did Caroline go to the adoption meeting?,candidate_reranker,candidate_reranker,llm_00070,event,0.975340418174009,1.0,1.0,1.0,1.0,1,llm_00070
13,q00033,1,What LGBTQ+ events has Caroline participated in?,candidate_reranker,candidate_reranker,llm_00152,work,0.7563761588107359,0.08333333333333333,0.0,0.0,0.0,12,llm_00001
13,q00035,1,What events has Caroline participated in to help children?,candidate_reranker,candidate_reranker,llm_00116,event,0.5678975531091853,0.1111111111111111,0.0,0.0,0.0,9,llm_00081
13,q00036,2,When did Melanie go camping in July?,candidate_reranker,candidate_reranker,llm_00080,event,0.7014241647289924,1.0,1.0,1.0,1.0,1,llm_00080
13,q00050,2,When did Caroline and Melanie go to a pride fesetival together?,candidate_reranker,candidate_reranker,llm_00112,event,0.9614951653459102,1.0,1.0,1.0,1.0,1,llm_00112
13,q00051,3,What would Caroline's political leaning likely be?,candidate_reranker,candidate_reranker,llm_00002,identity,0.23056832573156558,0.05555555555555555,0.0,0.0,0.0,18,llm_00108
13,q00060,3,Would Caroline be considered religious?,candidate_reranker,candidate_reranker,llm_00107,event,0.38132597016209496,1.0,1.0,1.0,1.0,1,llm_00107
13,q00062,1,What musical artists/bands has Melanie seen?,candidate_reranker,candidate_reranker,llm_00144,event,0.7470405690871309,1.0,1.0,1.0,1.0,1,llm_00144
13,q00066,1,What are some changes Caroline has faced during her transition journey?,candidate_reranker,candidate_reranker,llm_00075,identity,0.5512584138774994,0.25,0.0,0.0,1.0,4,llm_00158
13,q00068,2,When did Caroline go biking with friends?,candidate_reranker,candidate_reranker,llm_00149,event,0.9959513790700846,1.0,1.0,1.0,1.0,1,llm_00149
13,q00069,2,How long has Melanie been practicing art?,candidate_reranker,candidate_reranker,llm_00154,hobby,0.9626788963358551,1.0,1.0,1.0,1.0,1,llm_00154
13,q00072,1,What book did Melanie read from Caroline's suggestion?,candidate_reranker,candidate_reranker,llm_00166,hobby,0.6373128701655625,1.0,1.0,1.0,1.0,1,llm_00166
13,q00075,2,When did Melanie's family go on a roadtrip?,candidate_reranker,candidate_reranker,llm_00174,event,0.9344069340232597,1.0,1.0,1.0,1.0,1,llm_00174
13,q00077,1,When did Melanie go on a hike after the roadtrip?,candidate_reranker,candidate_reranker,llm_00174,event,0.7878626123601333,0.09090909090909091,0.0,0.0,0.0,11,llm_00178
13,q00080,2,When did Caroline pass the adoption interview?,candidate_reranker,candidate_reranker,llm_00182,event,0.9408139614791651,1.0,1.0,1.0,1.0,1,llm_00182
13,q00086,4,What are Caroline's plans for the summer?,candidate_reranker,candidate_reranker,llm_00113,plan,0.5581497268338217,0.0,0.0,0.0,0.0,0,
13,q00087,4,What type of individuals does the adoption agency Caroline is considering support?,candidate_reranker,candidate_reranker,llm_00015,preference,0.9958685304197191,1.0,1.0,1.0,1.0,1,llm_00015
13,q00092,4,What does Caroline's necklace symbolize?,candidate_reranker,candidate_reranker,llm_00030,family,0.9448719089576143,1.0,1.0,1.0,1.0,1,llm_00030
13,q00096,4,What did Melanie and her family do while camping?,candidate_reranker,candidate_reranker,llm_00080,event,0.9479726860271125,0.06666666666666667,0.0,0.0,0.0,15,llm_00033
13,q00097,4,What kind of counseling and mental health services is Caroline interested in pursuing?,candidate_reranker,candidate_reranker,llm_00034,goal,0.9781383002014208,1.0,1.0,1.0,1.0,1,llm_00034
13,q00098,4,What workshop did Caroline attend recently?,candidate_reranker,candidate_reranker,llm_00036,event,0.9945279386319442,1.0,1.0,1.0,1.0,1,llm_00036
13,q00103,4,What kind of books does Caroline have in her library?,candidate_reranker,candidate_reranker,llm_00049,plan,0.9896358964163063,1.0,1.0,1.0,1.0,1,llm_00049
13,q00106,4,"What did Caroline take away from the book ""Becoming Nicole""?",candidate_reranker,candidate_reranker,llm_00062,emotion,0.9785293050985041,1.0,1.0,1.0,1.0,1,llm_00062
13,q00113,4,What did Mel and her kids paint in their latest project in July 2023?,candidate_reranker,candidate_reranker,llm_00087,hobby,0.3863828302567175,0.5,0.0,1.0,1.0,2,llm_00069
