query_id,original_query_id,split_seed,query_type,method,mrr,recall@1,recall@3,recall@5,first_rank
13:q00051,q00051,13,3,type_aware,0.0,0.0,0.0,0.0,0
13:q00060,q00060,13,3,type_aware,1.0,1.0,1.0,1.0,1
13:q00502,q00502,13,3,type_aware,0.0,0.0,0.0,0.0,0
13:q00564,q00564,13,3,type_aware,0.0,0.0,0.0,0.0,0
13:q00582,q00582,13,3,type_aware,0.0,0.0,0.0,0.0,0
13:q00583,q00583,13,3,type_aware,0.3333333333333333,0.0,1.0,1.0,3
13:q00585,q00585,13,3,type_aware,0.0,0.0,0.0,0.0,0
13:q00761,q00761,13,3,type_aware,0.0,0.0,0.0,0.0,0
13:q00790,q00790,13,3,type_aware,1.0,1.0,1.0,1.0,1
13:q00811,q00811,13,3,type_aware,1.0,1.0,1.0,1.0,1
13:q01165,q01165,13,3,type_aware,1.0,1.0,1.0,1.0,1
13:q01170,q01170,13,3,type_aware,0.16666666666666666,0.0,0.0,0.0,6
13:q01175,q01175,13,3,type_aware,1.0,1.0,1.0,1.0,1
13:q01183,q01183,13,3,type_aware,1.0,1.0,1.0,1.0,1
13:q01188,q01188,13,3,type_aware,1.0,1.0,1.0,1.0,1
13:q01191,q01191,13,3,type_aware,0.125,0.0,0.0,0.0,8
13:q01193,q01193,13,3,type_aware,0.5,0.0,1.0,1.0,2
13:q01194,q01194,13,3,type_aware,1.0,1.0,1.0,1.0,1
13:q01384,q01384,13,3,type_aware,0.1,0.0,0.0,0.0,10
13:q01592,q01592,13,3,type_aware,0.0,0.0,0.0,0.0,0
13:q01607,q01607,13,3,type_aware,0.2,0.0,0.0,1.0,5
13:q01630,q01630,13,3,type_aware,0.2,0.0,0.0,1.0,5
13:q01644,q01644,13,3,type_aware,0.1,0.0,0.0,0.0,10
13:q01790,q01790,13,3,type_aware,0.3333333333333333,0.0,1.0,1.0,3
13:q00051,q00051,13,3,global_candidate_reranker,0.05555555555555555,0.0,0.0,0.0,18
13:q00060,q00060,13,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00502,q00502,13,3,global_candidate_reranker,0.058823529411764705,0.0,0.0,0.0,17
13:q00564,q00564,13,3,global_candidate_reranker,0.0,0.0,0.0,0.0,0
13:q00582,q00582,13,3,global_candidate_reranker,0.0,0.0,0.0,0.0,0
13:q00583,q00583,13,3,global_candidate_reranker,0.09090909090909091,0.0,0.0,0.0,11
13:q00585,q00585,13,3,global_candidate_reranker,0.0,0.0,0.0,0.0,0
13:q00761,q00761,13,3,global_candidate_reranker,0.0,0.0,0.0,0.0,0
13:q00790,q00790,13,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1
13:q00811,q00811,13,3,global_candidate_reranker,0.2,0.0,0.0,1.0,5
13:q01165,q01165,13,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1
13:q01170,q01170,13,3,global_candidate_reranker,0.05555555555555555,0.0,0.0,0.0,18
13:q01175,q01175,13,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1
13:q01183,q01183,13,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1
13:q01188,q01188,13,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1
13:q01191,q01191,13,3,global_candidate_reranker,0.2,0.0,0.0,1.0,5
13:q01193,q01193,13,3,global_candidate_reranker,1.0,1.0,1.0,1.0,1
