section,artifact,package_bucket,include_in_current_supplement,exists,status,tracked_in_reproducibility,size_bytes,anonymization_findings,role,next_action
Manuscript,outputs/agent_memory_manuscript_draft_zh.md,main_paper_candidate,True,True,ready_for_internal_review,True,12592,,中文正文初稿，含摘要、方法、实验、结果、Threats to Validity 和投稿前 TODO。,外部 embedding 与人工复核完成后重新生成正文并重跑 claim check。
Main Tables,outputs/agent_memory_paper_tables_zh.md,main_paper_candidate,True,True,ready,True,3724,,论文主表、消融表、LOCO 验证表和 Type 3 负结果表的 Markdown 版本。,投稿前同步最终 embedding baseline 行。
Main Tables,outputs/agent_memory_paper_tables.tex,main_paper_candidate,True,True,ready,True,5197,,可复制进论文的 LaTeX booktabs 表格。,投稿前根据目标模板微调 caption/label。
Method Appendix,outputs/agent_memory_intrinsic_reranker_method_appendix_zh.md,supplement_candidate,True,True,ready,True,6999,,intrinsic feature reranker 的候选池、特征、模型、验证协议和复现命令。,将核心公式与特征表压缩进正文方法小节。
Method Appendix,outputs/agent_memory_candidate_reranker_seed_stability_zh.md,supplement_candidate,True,True,ready,True,2058,,intrinsic candidate reranker 的 20-seed 随机划分稳定性证据。,投稿正文可把该结果写入 robustness/stability 小节。
Method Appendix,outputs/agent_memory_candidate_reranker_paired_effect_size_zh.md,supplement_candidate,True,True,ready,True,1912,,intrinsic candidate reranker 的 improved/worsened/tied、query type breakdown 和 paired Cohen's dz。,投稿正文可用该结果解释收益分布和 Type 3 边界。
Method Appendix,outputs/agent_memory_candidate_reranker_train_fraction_sensitivity_zh.md,supplement_candidate,True,True,ready,True,2558,,intrinsic candidate reranker 在 0.5/0.6/0.7/0.8 train fraction 下的敏感性分析。,投稿正文可用该结果回应训练比例依赖风险。
Method Appendix,outputs/agent_memory_candidate_oracle_gap_analysis_zh.md,supplement_candidate,True,True,ready,True,2509,,candidate oracle 上界、主方法 gap closure 和 Type 3 剩余瓶颈分析。,投稿正文可用该结果解释方法上界和未来工作。
Experiment Protocol,outputs/agent_memory_experiment_protocol_zh.md,supplement_candidate,True,True,ready,True,4247,,数据切片、指标公式、显著性检验、主结果、负结果和写法边界。,作为 supplementary material 或实验设置附录。
Evidence Matrix,outputs/agent_memory_paper_evidence_matrix_zh.md,internal_review_gate,False,True,ready,True,7856,,论文主张、证据强度、剩余缺口和可写边界矩阵。,写作时逐条核对摘要/贡献是否过度宣称。
Paper Tables,outputs/agent_memory_paper_table_consistency_zh.md,supplement_candidate,True,True,ready,True,3343,,重新生成 Markdown/LaTeX 表格并与当前表格 artifact 做字节级一致性审计。,任何实验 CSV 或表格生成器更新后重新运行该审计。
Threats to Validity,outputs/agent_memory_threats_to_validity_zh.md,supplement_candidate,True,True,ready_with_blockers_declared,True,5872,,内部/外部/构念/统计/规模/复现有效性威胁与缓解措施。,外部 embedding 和人工复核完成后更新 blocker 行。
Reviewer Prep,outputs/agent_memory_reviewer_response_prep_zh.md,internal_review_gate,False,True,ready_with_blockers_declared,True,4396,,审稿人可能追问的问题、当前证据、剩余缺口和安全写作边界。,每次补完 blocker 或修改主张后重新生成。
External Embedding,outputs/agent_memory_external_embedding_blocker_audit_zh.md,exclude_until_blocker_closed,False,True,blocked,True,3406,,外部 embedding baseline 的 key、preflight、summary 和 comparison blocker 审计。,配置 OPENAI_API_KEY 或 OpenAI-compatible provider key 后运行 API baseline。
External Embedding,outputs/agent_memory_api_embedding_postrun_gate_zh.md,exclude_until_blocker_closed,False,True,blocked_until_api_run,True,1445,,外部 API embedding 跑后结果完整性验收，检查 summary、rankings、per-query metrics、summary_by_type 和 comparison。,API baseline 和 compare 完成后重跑该 gate，再刷新 submission readiness。
External Embedding,outputs/agent_memory_offline_embedding_sensitivity_zh.md,protocol_or_diagnostic_candidate,True,True,ready_diagnostic,True,2669,,BGE-M3、hash vector 和 BM25 keyword 的离线 encoder-sensitivity 下界诊断。,保留为下界诊断；投稿前仍需真实外部 API embedding baseline。
Human Audit,outputs/agent_memory_human_audit_annotation_codebook_zh.md,protocol_appendix_candidate,False,True,ready_for_labeling,True,8167,,人工复核 yes/partial/no、gold sufficiency、manual reason 和双人标注规则。,先填写 priority20 盲审 CSV，再扩展 full80。
Human Audit,outputs/agent_memory_human_audit_execution_plan_zh.md,protocol_appendix_candidate,False,True,ready_for_labeling,True,3788,,把 priority20、full80、双人独立标注、仲裁和论文刷新步骤拆成可执行 checklist。,按 execution plan 先完成 priority20 single blind labeling。
Human Audit,outputs/agent_memory_human_audit_sample_qc_zh.md,protocol_appendix_candidate,False,True,ready_qc,True,6936,,检查 priority20/full80 人工复核样本数、去重、错误类型/query type/rank 区间覆盖和标注进度。,人工标注前后都重跑 QC，确保样本结构和 progress 记录一致。
