check,pass,severity,evidence
memories file exists,True,required,work/agent_memory_experiment/data/llm_extracted_locomo10_all_v3_answerable_memories.jsonl
queries file exists,True,required,work/agent_memory_experiment/data/llm_extracted_locomo10_all_v3_answerable_queries.jsonl
memory rows available,True,required,2517
query rows available,True,required,1838
api key available,False,required,OPENAI_API_KEY set=False
embedding cache dir parent exists,True,optional,work/agent_memory_experiment/cache/embeddings
memory cache exists,False,optional,work/agent_memory_experiment/cache/embeddings/api/text-embedding-3-small/memories_c34fdc2deb14403f24e1c232339215988d75a771e362b02264503b2bf98501bf.npz
query cache exists,False,optional,work/agent_memory_experiment/cache/embeddings/api/text-embedding-3-small/queries_4fbbb2a49a5a46e96bbf61c51d82f0e68830c1a3e3f49c889c60c38b99d7792c.npz
result summary exists,False,optional,work/agent_memory_experiment/results/llm_extracted_locomo10_all_v3_answerable_openai_text_embedding_3_small_type_004/summary.csv
result summary has method,False,optional,type_aware
