split_seed,query_id,query_type,query,method,selected_method,mrr,recall@1,recall@3,recall@5,first_rank
13,q00006,2,When did Melanie run a charity race?,supervised_text_router,hybrid,1.0,1.0,1.0,1.0,1
13,q00008,1,What is Caroline's relationship status?,supervised_text_router,vector,0.045454545454545456,0.0,0.0,0.0,22
13,q00009,2,When did Caroline give a speech at a school?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00010,2,"When did Caroline meet up with her friends, family, and mentors?",supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00012,1,Where did Caroline move from 4 years ago?,supervised_text_router,keyword,1.0,1.0,1.0,1.0,1
13,q00013,2,How long ago was Caroline's 18th birthday?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00021,2,When did Melanie go to the museum?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00025,1,What does Melanie do to destress?,supervised_text_router,type_aware,0.16666666666666666,0.0,0.0,0.0,6
13,q00029,2,When did Caroline go to the adoption meeting?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00033,1,What LGBTQ+ events has Caroline participated in?,supervised_text_router,keyword,0.09090909090909091,0.0,0.0,0.0,11
13,q00035,1,What events has Caroline participated in to help children?,supervised_text_router,type_aware,0.02631578947368421,0.0,0.0,0.0,38
13,q00036,2,When did Melanie go camping in July?,supervised_text_router,time_aware,0.3333333333333333,0.0,1.0,1.0,3
13,q00050,2,When did Caroline and Melanie go to a pride fesetival together?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00051,3,What would Caroline's political leaning likely be?,supervised_text_router,vector,0.05,0.0,0.0,0.0,20
13,q00060,3,Would Caroline be considered religious?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00062,1,What musical artists/bands has Melanie seen?,supervised_text_router,type_aware,0.14285714285714285,0.0,0.0,0.0,7
13,q00066,1,What are some changes Caroline has faced during her transition journey?,supervised_text_router,keyword,0.5,0.0,1.0,1.0,2
13,q00068,2,When did Caroline go biking with friends?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00069,2,How long has Melanie been practicing art?,supervised_text_router,keyword,1.0,1.0,1.0,1.0,1
13,q00072,1,What book did Melanie read from Caroline's suggestion?,supervised_text_router,type_aware,0.5,0.0,1.0,1.0,2
13,q00075,2,When did Melanie's family go on a roadtrip?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00077,1,When did Melanie go on a hike after the roadtrip?,supervised_text_router,type_aware,0.125,0.0,0.0,0.0,8
13,q00080,2,When did Caroline pass the adoption interview?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00086,4,What are Caroline's plans for the summer?,supervised_text_router,keyword,0.005076142131979695,0.0,0.0,0.0,197
13,q00087,4,What type of individuals does the adoption agency Caroline is considering support?,supervised_text_router,keyword,1.0,1.0,1.0,1.0,1
13,q00092,4,What does Caroline's necklace symbolize?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00096,4,What did Melanie and her family do while camping?,supervised_text_router,keyword,0.006802721088435374,0.0,0.0,0.0,147
13,q00097,4,What kind of counseling and mental health services is Caroline interested in pursuing?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00098,4,What workshop did Caroline attend recently?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00103,4,What kind of books does Caroline have in her library?,supervised_text_router,vector,1.0,1.0,1.0,1.0,1
13,q00106,4,"What did Caroline take away from the book ""Becoming Nicole""?",supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00113,4,What did Mel and her kids paint in their latest project in July 2023?,supervised_text_router,type_aware,0.3333333333333333,0.0,1.0,1.0,3
13,q00117,4,What inspired Caroline's painting for the art show?,supervised_text_router,vector,1.0,1.0,1.0,1.0,1
13,q00119,4,What did Melanie and her family see during their camping trip last year?,supervised_text_router,keyword,1.0,1.0,1.0,1.0,1
13,q00121,4,Whose birthday did Melanie celebrate recently?,supervised_text_router,type_aware,1.0,1.0,1.0,1.0,1
13,q00123,4,Why did Melanie choose to use colors and patterns in her pottery project?,supervised_text_router,keyword,0.5,0.0,1.0,1.0,2
13,q00124,4,What pet does Caroline have?,supervised_text_router,vector,1.0,1.0,1.0,1.0,1
13,q00125,4,What pets does Melanie have?,supervised_text_router,vector,0.14285714285714285,0.0,0.0,0.0,7
