split_seed,query_id,query_type,rank,memory_id,memory_type,memory_text,learned_score,is_relevant
13,q00006,2,1,llm_00011,event,Melanie ran a charity race for mental health last Saturday.,0.9979358115167783,True
13,q00006,2,2,llm_00066,goal,Melanie finds running beneficial for her mental health and plans to continue.,0.29913643769719,False
13,q00006,2,3,llm_00012,goal,"Melanie is prioritizing self-care and carving out me-time each day for running, reading, or playing violin.",0.18802540620573482,False
13,q00006,2,4,llm_00064,preference,Melanie recently bought new purple running shoes.,0.18201839824184302,False
13,q00006,2,5,llm_00024,family,Melanie is married and has kids.,0.12763917556108323,False
13,q00006,2,6,llm_00151,family,Melanie has kids.,0.12115226329026928,False
13,q00006,2,7,llm_00080,event,Melanie went camping with her family two weekends ago.,0.090503007953614,False
13,q00006,2,8,llm_00077,family,Melanie's family supported her during her move.,0.08765050390807638,False
13,q00006,2,9,llm_00048,identity,Melanie loves being a mom.,0.08462559642837773,False
13,q00006,2,10,llm_00174,event,Melanie went on a road trip with her family over the past weekend.,0.0820214321249245,False
13,q00008,1,1,llm_00052,identity,Caroline is a transgender woman.,0.6947332503959414,False
13,q00008,1,2,llm_00002,identity,Caroline is transgender.,0.6784896412919968,False
13,q00008,1,3,llm_00057,goal,Caroline is passionate about fighting for trans rights and spreading awareness.,0.5710096988374727,False
13,q00008,1,4,llm_00083,identity,Caroline is a transgender woman.,0.5165388059675918,False
13,q00008,1,5,llm_00084,event,Caroline attended the LGBT pride event last month with her mentee.,0.4621137569018457,False
13,q00008,1,6,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,0.3900664992840338,False
13,q00008,1,7,llm_00131,identity,Caroline is a transgender woman.,0.35794472091348406,False
13,q00008,1,8,llm_00102,identity,Caroline is a transgender woman.,0.3326469423485627,False
13,q00008,1,9,llm_00132,relationship,Caroline found a supportive community in the transgender community.,0.2844984974693479,False
13,q00008,1,10,llm_00029,identity,Caroline is from Sweden.,0.2779875763519328,False
13,q00009,2,1,llm_00020,event,Caroline gave a talk at a school event last week about her transgender journey and encouraged students to get involved in the LGBTQ community.,0.7627047871706449,True
13,q00009,2,2,llm_00052,identity,Caroline is a transgender woman.,0.33485062295632184,False
13,q00009,2,3,llm_00049,plan,Caroline is creating a library of children's books for when she has kids.,0.294327001997393,False
13,q00009,2,4,llm_00083,identity,Caroline is a transgender woman.,0.2484765277410099,False
13,q00009,2,5,llm_00071,goal,Caroline is determined to adopt a child.,0.20365965709388936,False
13,q00009,2,6,llm_00089,identity,Caroline is passionate about LGBTQ rights and community support.,0.17320229063270323,False
13,q00009,2,7,llm_00102,identity,Caroline is a transgender woman.,0.15199577889943633,False
13,q00009,2,8,llm_00185,identity,Caroline is a transgender woman.,0.1445225898520966,False
13,q00009,2,9,llm_00131,identity,Caroline is a transgender woman.,0.14151173504377418,False
13,q00009,2,10,llm_00171,identity,Caroline is a transgender woman.,0.13596154941744637,False
13,q00010,2,1,llm_00021,relationship,"Caroline has a strong support system of friends, family, and mentors who motivate her.",0.9405532967445057,True
13,q00010,2,2,llm_00186,emotion,"Caroline's transition and self-acceptance were difficult, but she received invaluable help from friends, family, and people she looked up to.",0.44914635285590754,False
13,q00010,2,3,llm_00054,relationship,"Caroline's friends and family have been supportive of her transition, providing love, guidance, and acceptance.",0.37316912177404105,False
13,q00010,2,4,llm_00023,emotion,"Caroline went through a tough breakup, and her friends' support was especially important during that time.",0.3523945992129032,False
13,q00010,2,5,llm_00034,goal,Caroline is exploring a career in counseling and mental health.,0.2652937659520898,False
13,q00010,2,6,llm_00081,plan,Caroline joined a mentorship program for LGBTQ youth last weekend.,0.2539364527282074,False
13,q00010,2,7,llm_00116,event,Caroline attended an adoption advice/assistance group.,0.24487401216242827,False
13,q00010,2,8,llm_00037,emotion,Caroline's own journey and support she received motivated her to pursue counseling.,0.22276265698360026,False
13,q00010,2,9,llm_00058,goal,Caroline is exploring counseling and mental health career options.,0.19530468715833585,False
13,q00010,2,10,llm_00132,relationship,Caroline found a supportive community in the transgender community.,0.17446527048919627,False
13,q00012,1,1,llm_00022,relationship,"Caroline has known her close friends for 4 years, since she moved from her home country.",0.8163194111444031,True
13,q00012,1,2,llm_00019,identity,Caroline is a transgender woman who started transitioning three years ago.,0.6109498224987383,False
13,q00012,1,3,llm_00029,identity,Caroline is from Sweden.,0.39437614392254094,True
13,q00012,1,4,llm_00052,identity,Caroline is a transgender woman.,0.3523793976610381,False
13,q00012,1,5,llm_00002,identity,Caroline is transgender.,0.31902982937010405,False
13,q00012,1,6,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,0.2389768029489932,False
13,q00012,1,7,llm_00054,relationship,"Caroline's friends and family have been supportive of her transition, providing love, guidance, and acceptance.",0.20262998123896586,False
