row_type,scope,group,value,count,total,share,evidence,review_order,audit_id,query_id,query_type,auto_reason,first_rank,first_rank_bucket,top_memory_type,status,missing_required_count,missing_required_fields,missing_optional_fields,query
summary,priority20,progress,samples,20,20,1.0,blind review rows,,,,,,,,,,,,,
summary,priority20,progress,complete_required,0,20,0.0,all required human_* fields filled,,,,,,,,,,,,,
summary,priority20,progress,partial_required,0,20,0.0,some required human_* fields filled,,,,,,,,,,,,,
summary,priority20,progress,not_started,20,20,1.0,no required human_* fields filled,,,,,,,,,,,,,
summary,priority20,progress,missing_required_fields,60,60,1.0,human_auto_reason_correct;human_top_memory_relevant;human_gold_memory_sufficient,,,,,,,,,,,,,
summary,priority20,auto_reason_distribution,memory_type_mismatch,4,20,0.2,auto_reason,,,,,,,,,,,,,
summary,priority20,auto_reason_distribution,other,4,20,0.2,auto_reason,,,,,,,,,,,,,
summary,priority20,auto_reason_distribution,career_education_neighbor,3,20,0.15,auto_reason,,,,,,,,,,,,,
summary,priority20,auto_reason_distribution,gold_below_top20,3,20,0.15,auto_reason,,,,,,,,,,,,,
summary,priority20,auto_reason_distribution,temporal_neighbor,3,20,0.15,auto_reason,,,,,,,,,,,,,
summary,priority20,auto_reason_distribution,activity_neighbor,1,20,0.05,auto_reason,,,,,,,,,,,,,
summary,priority20,auto_reason_distribution,identity_neighbor,1,20,0.05,auto_reason,,,,,,,,,,,,,
summary,priority20,auto_reason_distribution,relationship_neighbor,1,20,0.05,auto_reason,,,,,,,,,,,,,
summary,priority20,query_type_distribution,5,9,20,0.45,query_type,,,,,,,,,,,,,
summary,priority20,query_type_distribution,4,4,20,0.2,query_type,,,,,,,,,,,,,
summary,priority20,query_type_distribution,2,3,20,0.15,query_type,,,,,,,,,,,,,
summary,priority20,query_type_distribution,1,2,20,0.1,query_type,,,,,,,,,,,,,
summary,priority20,query_type_distribution,3,2,20,0.1,query_type,,,,,,,,,,,,,
summary,priority20,rank_bucket_distribution,rank_2_5,7,20,0.35,first_rank_bucket,,,,,,,,,,,,,
summary,priority20,rank_bucket_distribution,rank_11_20,6,20,0.3,first_rank_bucket,,,,,,,,,,,,,
summary,priority20,rank_bucket_distribution,rank_6_10,4,20,0.2,first_rank_bucket,,,,,,,,,,,,,
summary,priority20,rank_bucket_distribution,rank_gt_20,3,20,0.15,first_rank_bucket,,,,,,,,,,,,,
summary,full80,progress,samples,80,80,1.0,blind review rows,,,,,,,,,,,,,
summary,full80,progress,complete_required,0,80,0.0,all required human_* fields filled,,,,,,,,,,,,,
summary,full80,progress,partial_required,0,80,0.0,some required human_* fields filled,,,,,,,,,,,,,
summary,full80,progress,not_started,80,80,1.0,no required human_* fields filled,,,,,,,,,,,,,
summary,full80,progress,missing_required_fields,240,240,1.0,human_auto_reason_correct;human_top_memory_relevant;human_gold_memory_sufficient,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,memory_type_mismatch,23,80,0.2875,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,gold_below_top20,13,80,0.1625,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,other,8,80,0.1,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,temporal_neighbor,6,80,0.075,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,activity_neighbor,5,80,0.0625,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,persona_confusion,5,80,0.0625,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,semantic_neighbor,5,80,0.0625,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,career_education_neighbor,4,80,0.05,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,preference_neighbor,4,80,0.05,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,relationship_neighbor,4,80,0.05,auto_reason,,,,,,,,,,,,,
summary,full80,auto_reason_distribution,identity_neighbor,3,80,0.0375,auto_reason,,,,,,,,,,,,,
summary,full80,query_type_distribution,4,23,80,0.2875,query_type,,,,,,,,,,,,,
summary,full80,query_type_distribution,5,23,80,0.2875,query_type,,,,,,,,,,,,,
summary,full80,query_type_distribution,1,18,80,0.225,query_type,,,,,,,,,,,,,
summary,full80,query_type_distribution,2,10,80,0.125,query_type,,,,,,,,,,,,,
summary,full80,query_type_distribution,3,6,80,0.075,query_type,,,,,,,,,,,,,
summary,full80,rank_bucket_distribution,rank_2_5,41,80,0.5125,first_rank_bucket,,,,,,,,,,,,,
summary,full80,rank_bucket_distribution,rank_6_10,16,80,0.2,first_rank_bucket,,,,,,,,,,,,,
summary,full80,rank_bucket_distribution,rank_gt_20,13,80,0.1625,first_rank_bucket,,,,,,,,,,,,,
summary,full80,rank_bucket_distribution,rank_11_20,10,80,0.125,first_rank_bucket,,,,,,,,,,,,,
item,priority20,,,,,,,1,audit_050,q00715,5,other,8,rank_6_10,plan,not_started,3,human_auto_reason_correct;human_top_memory_relevant;human_gold_memory_sufficient,human_manual_reason;human_auditor_notes,Who did Joanna plan to invite to her gaming party in June 2022?
item,priority20,,,,,,,2,audit_076,q00520,2,temporal_neighbor,5,rank_2_5,work,not_started,3,human_auto_reason_correct;human_top_memory_relevant;human_gold_memory_sufficient,human_manual_reason;human_auditor_notes,When did Joanna start writing her third screenplay?
item,priority20,,,,,,,3,audit_020,q01345,5,gold_below_top20,23,rank_gt_20,hobby,not_started,3,human_auto_reason_correct;human_top_memory_relevant;human_gold_memory_sufficient,human_manual_reason;human_auditor_notes,"What game is James hooked on playing on 5 November, 2022?"
item,priority20,,,,,,,4,audit_031,q00459,5,memory_type_mismatch,4,rank_2_5,emotion,not_started,3,human_auto_reason_correct;human_top_memory_relevant;human_gold_memory_sufficient,human_manual_reason;human_auditor_notes,Who inspired John to start volunteering?
item,priority20,,,,,,,5,audit_002,q01430,1,activity_neighbor,12,rank_11_20,preference,not_started,3,human_auto_reason_correct;human_top_memory_relevant;human_gold_memory_sufficient,human_manual_reason;human_auditor_notes,Which locations does Deborah practice her yoga at?
item,priority20,,,,,,,6,audit_007,q00442,4,career_education_neighbor,4,rank_2_5,plan,not_started,3,human_auto_reason_correct;human_top_memory_relevant;human_gold_memory_sufficient,human_manual_reason;human_auditor_notes,What happened to John's job in August 2023?
